"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"303863017"	52	"K023"	"K023.00"	"chronic rapidly progressive glomerulonephritis"	"236392004"	"354352010"	32
"303864011"	332	"K02y"	"K02y.00"	"other chronic glomerulonephritis"	"20917003"	"35171019"	32
"303866013"	3	"K02y1"	"K02y100"	"chronic exudative glomerulonephritis"	"197617009"	"303866013"	32
"303867016"	1233	"K02y2"	"K02y200"	"chronic focal glomerulonephritis"	"197618004"	"303867016"	32
"303868014"	94	"K02y3"	"K02y300"	"chronic diffuse glomerulonephritis"	"197619007"	"303868014"	32
"303869018"	155	"K02yz"	"K02yz00"	"other chronic glomerulonephritis nos"	"20917003"	"35171019"	32
"303870017"	932	"K02z"	"K02z.00"	"chronic glomerulonephritis nos"	"20917003"	"35171019"	32
"303875010"	4200	"K031"	"K031.00"	"membranous glomerulonephritis"	"77182004"	"128137019"	32
"303877019"	374	"K0320"	"K032000"	"focal membranoproliferative glomerulonephritis"	"197626007"	"303877019"	32
"303881019"	11	"K0323"	"K032300"	"anaphylactoid glomerulonephritis"	"197629000"	"303881019"	15
"303883016"	99	"K0325"	"K032500"	"other familial glomerulonephritis"	"399340005"	"1778791010"	32
"303907019"	12973	"K03z"	"K03z.00"	"glomerulonephritis"	"36171008"	"60355017"	32
"303915016"	856	"K04y"	"K04y.00"	"other acute renal failure"	"14669001"	"2920634011"	32
"303916015"	4589	"K04z"	"K04z.00"	"acute renal failure nos"	"14669001"	"2920634011"	32
"303943013"	20111	"K08"	"K08..00"	"impaired renal function disorder"	"197663003"	"303943013"	32
"303949012"	245	"K08y"	"K08y.00"	"other impaired renal function disorder"	"197663003"	"303943013"	32
"303951011"	73	"K08y3"	"K08y300"	"renal function impairment with growth failure"	"197671004"	"303951011"	32
"303960015"	3373	"K08z"	"K08z.00"	"impaired renal function disorder nos"	"197663003"	"303943013"	32
"303969019"	25	"K0A00"	"K0A0000"	"acute nephritic syndrome, minor glomerular abnormality"	"197681000"	"303969019"	32
"303975011"	3	"K0A06"	"K0A0600"	"acute nephritic syndrome, dense deposit disease"	"197687001"	"303975011"	32
"303977015"	35	"K0A1"	"K0A1.00"	"rapidly progressive nephritic syndrome"	"197689003"	"303977015"	32
"304004016"	492	"K0A3"	"K0A3.00"	"chronic nephritic syndrome"	"197707007"	"304004016"	32
"304005015"	55	"K0A30"	"K0A3000"	"chronic nephritic syndrome, minor glomerular abnormality"	"197708002"	"304005015"	32
"304011017"	20	"K0A36"	"K0A3600"	"chronic nephritic syndrome, dense deposit disease"	"197714009"	"304011017"	32
"304042010"	6	"K0B3"	"K0B3.00"	"renal tubulo-interstitial disorders in metabolic diseases"	"197744007"	"304042010"	32
"304056012"	191	"K0y"	"K0y..00"	"other specified nephritis, nephrosis or nephrotic syndrome"	"90708001"	"150315015"	32
"304058013"	5612	"K0z"	"K0z..00"	"nephritis, nephrosis and nephrotic syndrome nos"	"90708001"	"150315015"	32
"304091016"	12110	"K10z"	"K10z.00"	"kidney infection"	"129128006"	"207842016"	32
"305162014"	3	"Kyu07"	"Kyu0700"	"[x]rapidly progressive nephritic syndrome, other"	"197679002"	"303967017"	32
"305166012"	26	"Kyu0B"	"Kyu0B00"	"[x]unspecified nephritic syndrome, dense deposit disease"	"462181000000102"	"891521000000111"	32
"305178011"	51	"Kyu16"	"Kyu1600"	"[x]other specified renal tubulo-interstitial diseases"	"28689008"	"48036015"	32
"305191012"	479	"Kyu20"	"Kyu2000"	"[x]other acute renal failure"	"14669001"	"2920634011"	32
"305192017"	396	"Kyu21"	"Kyu2100"	"[x]other chronic renal failure"	"90688005"	"509111010"	32
"305328015"	2	"L0413"	"L041300"	"incomplete spontaneous abortion with renal failure"	"198647008"	"305328015"	32
"305343018"	1	"L0423"	"L042300"	"complete spontaneous abortion with renal failure"	"198659007"	"305343018"	32
"305387010"	2	"L0503"	"L050300"	"legal termination of pregnancy complicated by renal failure"	"4576001"	"2967053016"	32
"305407013"	2	"L0513"	"L051300"	"incomplete legal abortion with renal failure"	"198708004"	"305407013"	32
"305428016"	2	"L0523"	"L052300"	"complete legal abortion with renal failure"	"198721006"	"305428016"	32
"305447018"	1	"L0603"	"L060300"	"unspecified illegal abortion with renal failure"	"49632008"	"82664019"	32
"305460012"	2	"L0613"	"L061300"	"incomplete illegal abortion with renal failure"	"198747002"	"305460012"	32
"305473011"	2	"L0623"	"L062300"	"complete illegal abortion with renal failure"	"198759003"	"305473011"	32
"305491018"	1	"L0703"	"L070300"	"unspecified abortion with renal failure"	"17369002"	"29367011"	32
"305504016"	1	"L0713"	"L071300"	"incomplete miscarriage with renal failure"	"198647008"	"2966503012"	32
"305530017"	3	"L083"	"L083.00"	"failed attempted abortion with renal failure"	"198809000"	"305530017"	32
"305569011"	58	"L093"	"L093.00"	"renal failure following abortive pregnancy"	"609452007"	"2966819013"	32
"305571011"	13	"L0931"	"L093100"	"acute renal failure following abortive pregnancy"	"609455009"	"2966764018"	32
"305944016"	4	"L1620"	"L162000"	"unspecified renal disease in pregnancy unspecified"	"198609003"	"305277014"	32
"305945015"	3	"L1621"	"L162100"	"unspecified renal disease in pregnancy - delivered"	"198609003"	"305277014"	32
"305947011"	1	"L1623"	"L162300"	"unspecified renal disease in pregnancy - not delivered"	"198609003"	"305277014"	32
"305949014"	9	"L162z"	"L162z00"	"unspecified renal disease in pregnancy nos"	"198609003"	"305277014"	32
"307550017"	16	"L3930"	"L393000"	"post-delivery acute renal failure unspecified"	"733839001"	"3474857017"	32
"307552013"	12	"L3932"	"L393200"	"post-delivery acute renal failure with postnatal problem"	"200118004"	"307552013"	32
"307553015"	8	"L393z"	"L393z00"	"post-delivery acute renal failure nos"	"733839001"	"3474857017"	32
"314302019"	13861	"PD1y"	"PD1y.00"	"congenital cystic kidney disease"	"82525005"	"136885015"	32
"314306016"	86	"PD1yz"	"PD1yz00"	"other congenital cystic kidney disease nos"	"82525005"	"136885015"	32
"314307013"	273	"PD1z"	"PD1z.00"	"congenital cystic kidney disease nos"	"82525005"	"136885015"	32
"315750010"	2583	"Pyu70"	"Pyu7000"	"cystic kidney disease"	"236439005"	"3037469017"	32
"321129019"	95	"S760z"	"S760z00"	"kidney injury without mention of open wound into cavity nos"	"40095003"	"66795010"	32
"321131011"	7	"S7610"	"S761000"	"kidney injury with open wound into cavity, unspecified"	"210203000"	"321130012"	32
"321136018"	11	"S761z"	"S761z00"	"kidney injury with open wound into cavity nos"	"210203000"	"321130012"	32
"324973015"	1920	"SP083"	"SP08300"	"kidney transplant failure and rejection"	"213150003"	"324973015"	32
"329081019"	2	"TA120"	"TA12000"	"foreign object left in body during kidney dialysis"	"216904007"	"329081019"	32
"329116017"	3	"TA220"	"TA22000"	"failure of sterile precautions during kidney dialysis"	"216933008"	"329116017"	32
"353974015"	232	"7B006"	"7B00600"	"xenograft renal transplant"	"236138007"	"353974015"	32
"354317019"	19485	"K13-1"	"K13..11"	"kidney disease"	"90708001"	"150315015"	32
"354340015"	101	"K01w2"	"K01w200"	"congenital nephrotic syndrome with focal glomerulosclerosis"	"236384008"	"354340015"	32
"354346014"	139	"K032y-5"	"K032y15"	"mixed membranous and proliferative glomerulonephritis nec"	"52845002"	"87940013"	32
"354347017"	1059	"K032y-3"	"K032y13"	"chronic mesangial proliferative glomerulonephritis"	"197613008"	"303860019"	32
"354348010"	9	"K032y-2"	"K032y12"	"lobular glomerulonephritis nec"	"52845002"	"87940013"	32
"354349019"	86	"K032y-1"	"K032y11"	"hypocomplementaemic persistent glomerulonephritis nec"	"197613008"	"303860019"	32
"354352010"	103	"K0A8"	"K0A8.00"	"rapidly progressive glomerulonephritis"	"236392004"	"354352010"	32
"354363013"	753	"K0001"	"K000100"	"crescentic glomerulonephritis"	"236398000"	"354363013"	32
"354364019"	302	"K0001-1"	"K000111"	"cgn - crescentic glomerulonephritis"	"236398000"	"354364019"	32
"354380012"	1525	"K032y-4"	"K032y14"	"mesangiocapillary glomerulonephritis"	"80321008"	"133280014"	32
"354406016"	257654	"K060"	"K060.00"	"renal impairment"	"236423003"	"354406016"	32
"354407013"	80395	"K060-1"	"K060.11"	"impaired renal function"	"236423003"	"354407013"	32
"354409011"	197205	"1Z1"	"1Z1..00"	"chronic renal impairment"	"709044004"	"3037970010"	32
"354413016"	876	"K043"	"K043.00"	"acute drug-induced renal failure"	"236429004"	"354413016"	5
"354417015"	6277	"K0E"	"K0E..00"	"acute-on-chronic renal failure"	"236433006"	"354417015"	32
"354486019"	2	"K08yF-1"	"K08yF11"	"renal tubule insufficiency with biliary malformation"	"236482006"	"354486019"	32
"354505015"	161	"K0J"	"K0J..00"	"renal disorders in systemic disease"	"236498004"	"354505015"	32
"354512012"	32	"K0J0"	"K0J0.00"	"renal involvement in scleroderma"	"236502006"	"354512012"	32
"354516010"	56	"K036"	"K036.00"	"cryoglobulinaemic glomerulonephritis"	"236505008"	"354516010"	32
"354521013"	19	"K0J1"	"K0J1.00"	"renal involvement in malignant disease"	"236507000"	"354521013"	32
"354537019"	10	"K13C"	"K13C.00"	"chronic drug-induced renal disease"	"236519008"	"354537019"	32
"354591016"	12	"SP0E0"	"SP0E000"	"bloodstained peritoneal dialysis effluent"	"236556004"	"354591016"	32
"354610013"	667	"SP08R"	"SP08R00"	"renal transplant rejection"	"236570004"	"354610013"	32
"354612017"	13	"SP08C"	"SP08C00"	"accelerated rejection of renal transplant"	"236572007"	"354612017"	32
"354613010"	21	"SP08V"	"SP08V00"	"very mild acute rejection of renal transplant"	"236573002"	"354613010"	32
"354615015"	417	"SP08H"	"SP08H00"	"acute rejection of renal transplant"	"236574008"	"354615015"	32
"354616019"	42	"SP08E"	"SP08E00"	"acute rejection of renal transplant - grade i"	"236575009"	"354616019"	32
"354617011"	9	"SP08F"	"SP08F00"	"acute rejection of renal transplant - grade ii"	"236576005"	"354617011"	32
"354618018"	4	"SP08G"	"SP08G00"	"acute rejection of renal transplant - grade iii"	"236577001"	"354618018"	32
"354619014"	170	"SP08J"	"SP08J00"	"chronic rejection of renal transplant"	"236578006"	"354619014"	32
"354623018"	10	"SP08K"	"SP08K00"	"chronic rejection of renal transplant - grade 1"	"236579003"	"354623018"	32
"354624012"	5	"SP08L"	"SP08L00"	"chronic rejection of renal transplant - grade ii"	"236580000"	"354624012"	32
"354627017"	4	"SP08M"	"SP08M00"	"chronic rejection of renal transplant - grade iii"	"236581001"	"354627017"	32
"354628010"	19	"SP08D"	"SP08D00"	"acute-on-chronic rejection of renal transplant"	"236582008"	"354628010"	32
"354632016"	4	"SP08b"	"SP08b00"	"de novo glomerulonephritis"	"236586006"	"354632016"	32
"354636018"	8	"K0A9"	"K0A9.00"	"cytomegalovirus-induced glomerulonephritis"	"236590008"	"354636018"	32
"356511015"	11	"C300y-2"	"C300y12"	"hypophosphataemic rickets with nephrotic-glycosuric dwarfism"	"237888005"	"356511015"	32
"356557018"	149	"C3536"	"C353600"	"renal failure-associated hyperphosphataemia"	"237904006"	"356557018"	32
"357219012"	1513	"7L1A5"	"7L1A500"	"continuous ambulatory peritoneal dialysis"	"238318009"	"357219012"	32
"359372019"	652	"C345"	"C345.00"	"gout due to impairment of renal function"	"239844009"	"359372019"	32
"359990014"	12	"Q20yz-2"	"Q20yz12"	"kidney injury due to birth trauma"	"240317003"	"359990014"	32
"359991013"	21	"Q20yz-3"	"Q20yz13"	"renal injury due to birth trauma"	"240317003"	"359991013"	32
"377976016"	4528	"PD11z-1"	"PD11z11"	"cystic disease of kidney"	"236439005"	"354423013"	32
"394639018"	1214	"7L1A"	"7L1A.00"	"compensation for renal failure"	"265763003"	"394639018"	32
"394640016"	34326	"7L1A0"	"7L1A000"	"renal dialysis"	"265764009"	"394640016"	32
