"medcodeid"	"readterm"
"616341000006117"	"Diabetes mellitus screening"
"621801000006111"	"Dipstick blood sugar"
"635701000000114"	"240 minute plasma glucose level"
"635711000000111"	"300 minute plasma glucose level"
"661741000006114"	"Faecal sugars - general"
"667181000006113"	"Fasting blood sugar"
"730541000006110"	"Malabsorption of glucose - galactose"
"733311000006111"	"Blood glucose level before lunch"
"762431000006110"	"Fluid sample glucose"
"777231000006119"	"Diabetic monitoring - injection sites"
"803541000006114"	"Glucose galactose intolerance"
"803551000006111"	"Glucose - urine titre"
"803621000006115"	"Glucose tolerance test"
"807511000006115"	"GTT - glucose tolerance test abnormal in preg/childb/puerp"
"853071000006116"	"2 Hour post prandial glucose"
"881691000006116"	"Impaired glucose tolerance"
"888031000006116"	"Preg.+ abnorm.glucose tol.test"
"938351000006113"	"Impaired glucose tolerance"
"960581000006117"	"Hyperglycaemia"
"977341000006114"	"Glucose level"
"987441000006113"	"Six month diabetic review"
"1123651000000116"	"Estimated average glucose level"
"1621031000006114"	"Impaired glucose tolerance annual review"
"1660271000006119"	"[D]Stress induced hyperglycaemia"
"1665741000000117"	"180 minute plasma glucose level"
"1675511000006113"	"Diabetes mellitus screening risk score"
"1699041000006110"	"Impaired glucose tolerance monitoring administration"
"1699051000006112"	"Impaired glucose tolerance monitoring 1st letter"
"1699061000006114"	"Impaired glucose tolerance monitoring 2nd letter"
"1699071000006119"	"Impaired glucose tolerance monitoring 3rd letter"
"1709721000000116"	"Referral for impaired glucose tolerance management offered"
"1709761000000112"	"Referral for management of impaired glucose tolerance"
"1714631000000113"	"Frequency of blood glucose self-monitoring"
"1729771000000114"	"Blood glucose range before breakfast"
"1729791000000113"	"Blood glucose range after lunch"
"1729811000000114"	"Blood glucose range before evening meal"
"1729831000000118"	"Blood glucose range after breakfast"
"1729851000000113"	"Blood glucose range after evening meal"
"1731081000000110"	"Blood glucose range before lunch"
"1739411000000110"	"Blood glucose range at bedtime"
"1739991000000114"	"Blood glucose range overnight"
"1741931000006116"	"Impaired glucose tolerance monitoring administration"
"1741941000006114"	"Impaired glucose tolerance monitoring invitation"
"1741951000006111"	"Impaired glucose tolerance monitoring invitation first letter"
"1741961000006113"	"Impaired glucose tolerance monitoring invitation second letter"
"1741971000006118"	"Impaired glucose tolerance monitoring invitation third letter"
"1748401000000118"	"Checking accuracy of blood glucose meter"
"1759671000006111"	"Hyperglycaemia due to enteral feeding"
"1761691000006115"	"Glucose tolerance test-induced hypoglycaemia"
"1780371000006119"	"Breakfast time blood sugar"
"1787801000000112"	"Blood glucose test declined"
"1807281000006112"	"Capillary blood glucose measurement"
"1807291000006110"	"Capillary random blood glucose level"
"1807301000006111"	"Capillary fasting blood glucose level"
"1812221000006112"	"Ambulatory continuous glucose monitoring of interstitial tissue fluid"
"1822521000006119"	"Test request : Fasting blood glucose level"
"1822531000006116"	"Test request : Random blood sugar"
"1824941000006112"	"Glucose monitoring at home"
"1884591000006118"	"Further diabetic monitoring"
"1897851000006115"	"Test request : Serum random glucose level"
"1916741000006115"	"Impaired glucose regulation care pathway"
"1916751000006118"	"Impaired glucose regulation care pathway declined"
"1926051000006113"	"Provision of written information about blood glucose monitoring"
"1934741000006117"	"Provision of blood glucose meter"
"1947071000006115"	"Impaired glucose regulation monitoring invitation first letter"
"1947081000006117"	"Impaired glucose regulation monitoring invitation second letter"
"1947091000006119"	"Impaired glucose regulation monitoring invitation third letter"
"1955171000006110"	"Keele ENHANCE trial - diabetic review"
"1980741000006115"	"Impaired glucose regulation annual review"
"2135131000000116"	"Impaired glucose tolerance resolved"
"2200791000000116"	"Impaired glucose regulation"
"2365491000000112"	"Blood glucose self-monitoring record checked"
"2378701000000111"	"Baseline blood glucose level"
"2389131000000119"	"Blood glucose level after evening meal"
"2389171000000117"	"Blood glucose level during night"
"2409991000000110"	"Impaired glucose regulation monitoring invitation"
"2410151000000113"	"Impaired glucose regulation monitoring telephone invitation"
"2410191000000117"	"Impaired glucose regulation monitoring verbal invitation"
"2634891000000112"	"210 minute plasma glucose concentration"
"2650011000006113"	"IGT - Impaired glucose tolerance"
"2729491000000116"	"Random blood glucose level"
"2865221000006115"	"Impaired glucose tolerance in obese"
"3020131000006118"	"Impaired glucose tolerance in nonobese"
"3043011000006116"	"Glucose measurement, blood"
"3043021000006112"	"Blood sugar level"
"3043041000006117"	"Blood glucose level"
"3080861000006112"	"Glucose measurement"
"3295491000006118"	"Measurement of glucose 2 hours after glucose challenge for glucose tolerance test"
"3590531000006117"	"Glucose"
"3628201000006114"	"Urinalysis, glucose, qualitative"
"3674511000006117"	"Plasma glucose"
"3694771000006113"	"Impaired glucose tolerance associated with hormonal aetiology"
"3938481000006117"	"Impaired glucose tolerance associated with insulin receptor abnormality"
"3944121000006119"	"Glucose measurement, 2 hour post prandial"
"3944141000006114"	"2 hours post-food blood sugar level"
"4109671000006115"	"Glucose CSF/glucose plasma ratio measurement"
"4109691000006119"	"Glucose measurement, blood, test strip"
"4109711000006116"	"Dipstick blood sugar level"
"4109741000006117"	"Glucose measurement, post glucose dose"
"4217611000006117"	"OGTT - Oral glucose tolerance test"
"4217621000006113"	"GTT - Glucose tolerance test"
"4600701000006112"	"Laboratory blood glucose"
"4600721000006119"	"Glucometer blood glucose"
"4602041000006112"	"Serum random glucose level"
"4604791000006114"	"Urine glucose chemical titre measurement"
"4759481000006118"	"Glucose-galactose malabsorption"
"5109401000006116"	"Disorder of glucose regulation"
"5109931000006116"	"Acute hyperglycaemia"
"5110011000006115"	"Impaired glucose tolerance in pregnancy"
"5192411000006114"	"Diabetic monitoring status"
"5285361000006114"	"Glucose concentration, test strip measurement"
"5299141000006111"	"Urinary glucose output"
"5299211000006118"	"Small intestine glucose intolerance"
"5514341000006116"	"Urine dipstick for glucose"
"5519841000006111"	"Random blood glucose measurement"
"5519851000006113"	"Random blood glucose level"
"5519861000006110"	"RBG - Random blood glucose"
"5519871000006115"	"Random blood glucose"
"5519881000006117"	"Fasting blood glucose measurement"
"5519891000006119"	"Fasting blood glucose level"
"5519911000006117"	"Fasting blood glucose"
"5519921000006113"	"FBS - Fasting blood sugar"
"5519931000006111"	"Lunch time blood glucose measurement"
"5519981000006112"	"Supper time blood sugar level"
"5519991000006110"	"Bedtime blood glucose measurement"
"5520001000006117"	"Bedtime blood sugar level"
"5576781000006110"	"Glucose in sample"
"5576911000006117"	"BM stix glucose measurement"
"5587011000006111"	"Neonatal hyperglycaemia"
"5910961000006119"	"Post-prandial blood glucose"
"6173181000006114"	"Urine sugar analysis set"
"6183231000006110"	"Lidocaine hydrochloride 0.1%/glucose 5% infusion solution bag"
"6275381000006114"	"Glucose concentration, dipstick - finding"
"6279571000006118"	"Glucose level - finding"
"6279581000006115"	"Glucose level"
"6279601000006113"	"Blood glucose level - finding"
"6279611000006111"	"Blood glucose level"
"6279621000006115"	"Blood glucose result"
"6279631000006117"	"Blood glucose result - finding"
"6279681000006116"	"CSF: glucose level"
"6363411000006110"	"Pregnancy with abnormal glucose tolerance test"
"6613341000006113"	"Diabetic monitoring - injection sites abnormal"
"6615341000006112"	"Diabetic monitoring - injection sites normal"
"6648161000006111"	"Blood glucose control education"
"6833931000006116"	"Blood glucose series"
"6920561000006117"	"Blood sugar management"
"7176471000006112"	"Positron emission tomography (PET) of heart for cardiac viability using fluorodeoxyglucose"
"7508821000006112"	"Blood glucose monitoring"
"7510591000006110"	"Dietary education for impaired glucose tolerance"
"7606161000006116"	"Glucose monitoring system"
"7628811000006118"	"Steroid-induced hyperglycaemia"
"7875101000006113"	"PET CT FDG (fluorodeoxyglucose) imaging of base of brain to mid-thigh"
"8099601000006117"	"Review of glucose intolerance"
"8119331000006114"	"Hyperglycaemia due to type 1 diabetes mellitus"
"8286781000006119"	"Hyperglycaemia education"
"8288771000006118"	"Non-diabetic hyperglycaemia"
"8292931000006116"	"Does monitor blood glucose level before driving"
"8304721000006119"	"Blood glucose level at bedtime"
"8304751000006111"	"Blood glucose level before evening meal"
"8304761000006113"	"Blood glucose level after lunch"
"8304781000006115"	"Blood glucose level after breakfast"
"8304791000006117"	"Blood glucose level before breakfast"
"8335441000006111"	"Baseline blood glucose concentration"
"8382991000006111"	"Urine dipstick for glucose"
"8385771000006115"	"Blood sugar tolerance"
"8412491000006111"	"Blood sugar method"
"13488601000006118"	"Excepted from non-diabetic hyperglycaemia quality indicators - informed dissent"
"13488611000006115"	"Excepted from non-diabetic hyperglycaemia quality indicators - patient unsuitable"
"13674631000006114"	"QOF (Quality and Outcomes Framework) non-diabetic hyperglycaemia quality indicator-related care invitation"
"13674641000006116"	"QOF (Quality and Outcomes Framework) non-diabetic hyperglycaemia quality indicator-related care invitation using preferred method of communication"
"13956321000006111"	"Frequency of blood glucose self-monitoring"
"14073071000006111"	"Severe hyperglycaemia due to diabetes mellitus"
