"medcodeid"	"readterm"
"6596631000006112"	"Familial hypercholesterolemia"
"6596691000006111"	"LDL - Low density lipoprotein receptor disorder"
"6611881000006114"	"Familial type 3 hyperlipoproteinaemia"
"6611941000006113"	"Dysbetalipoproteinaemia"
"6633591000006119"	"Juvenile xanthoma"
"6665911000006113"	"Primary 'polygenic' combined hyperlipidaemia"
"6687861000006113"	"Familial hypercholesterolaemia due to heterozygous LDL receptor mutation"
"6687901000006118"	"Familial hypercholesterolaemia due to homozygous LDL receptor mutation"
"6858001000006115"	"History of hypercholesterolemia"
"7097881000006113"	"Dietary education for lipid disorder"
"7097901000006110"	"Dietary education for hyperlipidaemia"
"7261041000006112"	"Serum triglycerides borderline high"
"7261561000006118"	"Serum cholesterol borderline high"
"7301411000006114"	"Low density lipoprotein receptor mutation"
"7360751000006114"	"High density lipoprotein deficiency"
"7510431000006112"	"Suspected heterozygous familial hypercholesterolaemia"
"7966571000006116"	"Mixed hyperlipidaemia associated with type II diabetes mellitus"
"8035211000006110"	"Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus"
"8214761000006118"	"Lipid disorder monitoring invitation"
"11639951000006118"	"Adverse reaction to Cholesterol And Simvastatin"
"11998171000006112"	"Cholesterol reduction programme declined"
"12353501000006117"	"LDLR (low density lipoprotein receptor) mutation"
"12462911000006116"	"[X]Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"
"12680511000006110"	"Lipid lowering therapy"
"12704051000006116"	"Fibrate antihyperlipidaemic adverse reaction"
"12716491000006111"	"Serum cholesterol borderline"
"12716501000006115"	"Serum triglycerides borderline"
"13526571000006112"	"Hypercholesterolaemia due to cholesterol 7alpha-hydroxylase deficiency"
"14308971000006110"	"History of secondary hypercholesterolaemia"
"14308981000006113"	"H/O secondary hypercholesterolaemia"
"14308991000006111"	"History of secondary hyperlipidaemia"
"14309001000006111"	"H/O secondary hyperlipidaemia"
