"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"67779"	"Q409.00"	31	0	2	0	"congenital viral hepatitis"	"February 2009"
"104435"	"A70z100"	301	0	3	0	"acute viral hepatitis nos"	"June 2012"
"96192"	"7Q05300"	48	0	1	0	"rsv treatment and hepatitis c treatment drugs band 1"	"April 2009"
"50245"	"Q409100"	208	0	4	1	"congenital hepatitis b infection"	"February 2009"
"55962"	"A700.00"	12	0	0	0	"viral hepatitis a with coma"	"February 2009"
"111975"	"A706.00"	3	0	0	0	"unspecified viral hepatitis with coma"	"September 2017"
"69552"	"A704.00"	10	0	1	0	"other specified viral hepatitis with coma"	"February 2009"
"18652"	"J63B.00"	4679	0	60	0	"autoimmune hepatitis"	"February 2009"
"34087"	"A785200"	100	0	0	0	"cytomegaloviral hepatitis"	"February 2009"
"36727"	"J635.00"	278	0	1	0	"toxic liver disease"	"February 2009"
"110463"	"38V5.00"	4645	0	0	3	"elf (enhanced liver fibrosis) score"	"January 2016"
"29021"	"A053.00"	558	0	12	0	"amoebic liver abscess"	"February 2009"
"73995"	"7H62500"	8	0	1	0	"excision or biopsy of porta hepatis lymph node"	"February 2009"
"34642"	"Q48yz11"	53	0	1	0	"congenital hepatic fibrosis"	"February 2009"
"4743"	"J612.00"	18741	0	519	3	"alcoholic cirrhosis of liver"	"February 2009"
"104243"	"4JQF.00"	553	0	37	1062	"hepatitis c antigen positive"	"June 2012"
"48488"	"J60..00"	97	0	1	0	"acute and subacute liver necrosis"	"February 2009"
"34903"	"PB62.11"	453	0	22	0	"congenital hepatic cyst"	"February 2009"
"31897"	"J62..00"	429	0	11	0	"liver abscess and sequelae of chronic liver disease"	"February 2009"
"15562"	"J633000"	203	0	7	0	"toxic hepatitis"	"February 2009"
"15360"	"J63z.00"	4013	0	459	0	"liver disorder nos"	"February 2009"
"14291"	"43B2.11"	92	0	29	2496	"hepatitis b antibody present"	"February 2009"
"30586"	"A707200"	6348	0	330	1	"chronic viral hepatitis c"	"February 2009"
"99898"	"9kR..00"	2190	0	0	0	"chronic hepatitis annual review - enhanced services admin"	"June 2010"
"5219"	"J633z00"	8826	0	1240	643	"hepatitis unspecified nos"	"February 2009"
"35589"	"4JQ3.00"	49	0	1	1072	"hepatitis c virus genotype"	"February 2009"
"16455"	"J615z00"	1095	0	50	0	"non-alcoholic cirrhosis nos"	"February 2009"
"41104"	"J635200"	114	0	6	0	"toxic liver disease with acute hepatitis"	"February 2009"
"115693"	"Jyu7500"	1	0	0	0	"[x]liver disorders in other diseases classified elsewhere"	"July 2021"
"11431"	"ZV02B00"	8121	0	356	2	"[v]hepatitis b carrier"	"February 2009"
"9026"	"ZV42700"	2097	0	38	0	"[v]liver transplanted"	"February 2009"
"6690"	"J600000"	925	0	42	0	"acute hepatic failure"	"February 2009"
"112045"	"J632100"	1	0	0	0	"hepatitis in late syphilis"	"September 2017"
"111978"	"A70F.00"	2	0	0	0	"hepatitis c genotype 6"	"September 2017"
"27175"	"43B4.00"	212	0	37	2902	"hepatitis b surface antig +ve"	"February 2009"
"96664"	"J615800"	7	0	0	0	"juvenile portal cirrhosis"	"April 2009"
"7602"	"J617000"	197	0	3	0	"chronic alcoholic hepatitis"	"February 2009"
"3450"	"J615300"	144	0	8	0	"diffuse nodular cirrhosis"	"February 2009"
"33597"	"J61yz00"	99	0	5	0	"other non-alcoholic chronic liver disease nos"	"February 2009"
"97157"	"7800500"	7	0	0	0	"orthotopic transplantation of liver nec"	"August 2009"
"103715"	"J620200"	26	0	0	0	"liver abscess via hepatic artery"	"February 2012"
"58876"	"J631500"	114	0	0	0	"hepatitis in other viral disease"	"February 2009"
"47861"	"7805211"	2	0	0	0	"exploration of liver transplant"	"February 2009"
"100834"	"7Q05200"	18	0	0	0	"hepatitis b treatment drugs band 1"	"November 2010"
"41480"	"J600.00"	77	0	0	0	"acute necrosis of liver"	"February 2009"
"62358"	"L167000"	3	0	0	0	"liver disorder in pregnancy unspecified"	"February 2009"
"1440"	"A701.11"	15749	0	347	24	"infective hepatitis"	"February 2009"
"69313"	"J601200"	3	0	0	0	"subacute yellow atrophy"	"February 2009"
"97493"	"7801A00"	63	0	0	0	"left hemihepatectomy nec"	"August 2009"
"23511"	"J622.00"	278	0	24	0	"hepatic coma"	"February 2009"
"106642"	"A707300"	575	0	6	0	"chronic viral hepatitis b"	"August 2013"
"69194"	"7800200"	13	0	0	0	"replacement of previous liver transplant"	"February 2009"
"99236"	"Jyu7400"	1	0	0	0	"[x]liver disorders in infectious and parasitic diseases ce"	"April 2010"
"10721"	"SP14300"	10	0	0	0	"hepatorenal syndrome as a complication of care"	"February 2009"
"4454"	"J620z00"	1495	0	38	0	"liver abscess nos"	"February 2009"
"3216"	"J611.00"	5510	0	251	1	"acute alcoholic hepatitis"	"February 2009"
"100592"	"J61y600"	8	0	0	0	"hepatic fibrosis with hepatic sclerosis"	"August 2010"
"53877"	"J614y00"	83	0	2	0	"chronic hepatitis unspecified"	"February 2009"
"89445"	"7800111"	1	0	0	0	"auxillary liver transplant"	"February 2009"
"97650"	"7L1fz00"	2	0	0	0	"compensation for liver failure nos"	"September 2009"
"22168"	"J601100"	166	0	8	0	"subacute hepatitis - noninfective"	"February 2009"
"105506"	"7800400"	1	0	0	0	"orthotopic transplantation of whole liver"	"December 2012"
"55156"	"4JDJ.00"	10	0	0	37	"hepatitis g serology"	"February 2009"
"91591"	"J616200"	1	0	0	0	"biliary cirrhosis of children"	"February 2009"
"101535"	"J631600"	6	0	0	0	"hepatitis + adenovirus"	"January 2011"
"19355"	"65PL.00"	1402	0	12	0	"hepatitis b contact"	"February 2009"
"35625"	"Q434000"	89	0	1	0	"perinatal hepatitis causing jaundice, unspecified"	"February 2009"
