"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"63169"	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"63297"	"Heparin sodium 5,000units/5ml solution for injection vials (LEO Pharma)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"63440"	"Epoprostenol 500microgram powder and solvent (pH10.5) for solution for infusion vials"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"63571"	"Innohep 16,000units/0.8ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"64133"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"64500"	"Xarelto 2.5mg tablets (Bayer Plc)"	"Rivaroxaban"	"2.5mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"64559"	"Heparin sodium 1,000units/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"64581"	"Innohep 8,000units/0.4ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"64678"	"Edoxaban 60mg tablets"	"Edoxaban"	"60mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"64969"	"Clexane 20mg/0.2ml solution for injection pre-filled syringes (Sigma Pharmaceuticals Plc)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"64998"	"Epoprostenol 1.5mg powder and solvent (pH10.5) for solution for infusion vials"	"Epoprostenol"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"65247"	"Edoxaban 30mg tablets"	"Edoxaban"	"30mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"65285"	"Warfarin 1mg tablets (Crescent Pharma Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"65462"	"Heparin sodium 50units/5ml I.V. flush solution ampoules (LEO Pharma)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"00000000"	"Heparin"
"65496"	"Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"65746"	"Warfarin 500microgram tablets (DE Pharmaceuticals)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"65850"	"Lixiana 60mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban"	"60mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"65876"	"Edoxaban 15mg tablets"	"Edoxaban"	"15mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"66286"	"Warfarin 2.5mg/5ml oral solution"	"Warfarin"	"500microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"66529"	"Lixiana 30mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban"	"30mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"66570"	"Warfarin 1mg tablets (Waymade Healthcare Plc)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"68591"	"Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"68667"	"Warfarin 5mg capsules"	"Warfarin"	"5mg"	"Capsule"	"Oral"	"02080200"	"Warfarin"
"68795"	"Warfarin 1mg capsules"	"Warfarin"	"1mg"	"Capsule"	"Oral"	"02080200"	"Warfarin"
"69128"	"Warfarin 500micrograms/5ml oral solution"	"Warfarin"	"100microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"69194"	"Heparin low molecular weight 5000iu/0.2ml Sterile solution"	"Heparin"	"5000iu/0.2ml"	"Sterile Solution"	NA	"02080100"	"Heparin"
"70831"	"Phenindione 50mg tablets (AMCo)"	"Phenindione"	"50mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"70866"	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71132"	"Clexane 20mg/0.2ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71196"	"Warfarin 1.5mg/5ml oral solution"	"Warfarin"	"300microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"71274"	"Inhixa 60mg/0.6ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71303"	"Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets"	"Rivaroxaban"	NA	"Not applicable"	"Route of administration not applicable"	"02080200"	"Rivaroxaban"
"71386"	"Warfarin 1mg/5ml oral solution (Special Order)"	"Warfarin"	"200microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"71661"	"Inhixa 20mg/0.2ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71746"	"Inhixa 80mg/0.8ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71747"	"Inhixa 100mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"71837"	"Flolan 1.5mg powder and solvent (pH10.5) for solution for infusion vials (GlaxoSmithKline UK Ltd)"	"Epoprostenol"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"72040"	"Warfarin 3mg tablets (Crescent Pharma Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"72120"	"Lixiana 15mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban"	"15mg"	"Tablet"	"Oral"	"02080200"	"Edoxaban"
"72394"	"Enoxaparin Becat 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"73212"	"Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"73309"	"Arovi 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"73421"	"Phenprocoumon 3mg tablets"	"Phenprocoumon"	"3mg"	"Tablet"	"Oral"	"02080200"	"Phenprocoumon"
"73607"	"Enoxaparin Becat 80mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"73642"	"Warfarin 1mg tablets (Zentiva)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"73726"	"Warfarin 3mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"73853"	"Arovi 60mg/0.6ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"73907"	"Heparin sodium 10,000units/10ml solution for injection ampoules (Kent Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"74132"	"Epoprostenol 500microgram powder and solvent (pH12) for solution for infusion vials"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"74257"	"Enoxaparin Becat 60mg/0.6ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"74349"	"Arovi 80mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"75255"	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (Ennogen Healthcare Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"75576"	"Warfarin 3mg tablets (Arrow Generics Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"75798"	"Arovi 20mg/0.2ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"75959"	"Arovi 120mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	"02080100"	"Enoxaparin"
"76048"	"Arovi 150mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"76072"	"Warfarin 1mg tablets (Mawdsley-Brooks & Company Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"76358"	"Arixtra 10mg/0.8ml solution for injection pre-filled syringes (Aspen Pharma Trading Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"76422"	"Heparin sodium 5,000units/5ml solution for injection ampoules (LEO Pharma)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"76708"	"Arovi 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"76787"	"Inhixa 120mg/0.8ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	"02080100"	"Enoxaparin"
"77043"	"Monoparin 20,000units/20ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"77245"	"Warfarin 3mg tablets (Almus Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"77268"	"Warfarin 5mg Tablet (C P Pharmaceuticals Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"77287"	"Epoprostenol 1.5mg powder and solvent (pH12) for solution for infusion vials"	"Epoprostenol"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"77318"	"Enoxaparin Becat 20mg/0.2ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"77559"	"Warfarin 5mg Tablet (Lagap)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"78163"	"Phenindione 25mg tablets (Advanz Pharma)"	"Phenindione"	"25mg"	"Tablet"	"Oral"	"02080200"	"Phenindione"
"78487"	"Heparin 200iu/2ml Flush solution (Wockhardt UK Ltd)"	"Heparin"	"200iu/2ml"	"Flush Solution"	NA	"02080100"	"Heparin"
"79457"	"Warfarin 3mg capsules"	"Warfarin"	NA	"Capsule"	"Oral"	"02080200"	"Warfarin"
"79750"	"Inhixa 150mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"79892"	"Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes (J M McGill Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"80297"	"Epoprostenol 500microgram powder (pH12) for solution for infusion vials"	"Epoprostenol"	"500microgram"	"Powder for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"80969"	"Warfarin 1mg tablets (Arrow Generics Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"81754"	"Warfarin 1mg Tablet (Forley Generics Ltd)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"81838"	"Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes (Dr Reddy's Laboratories (UK) Ltd)"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Fondaparinux"
"82342"	"Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"82540"	"Clexane 100mg/1ml solution for injection pre-filled syringes (Mawdsley-Brooks & Company Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"82541"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"82638"	"Inhixa 300mg/3ml solution for injection multidose vials (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"82730"	"Coumadin 4mg tablets (Imported (Canada))"	"Warfarin"	"4mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"82738"	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (J M McGill Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"82821"	"Flolan 500microgram powder and solvent (pH12) for solution for infusion vials (GlaxoSmithKline UK Ltd)"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"02080100"	"Epoprostenol"
"83342"	"Warfarin 5mg tablets (Crescent Pharma Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"83471"	"Warfarin 5mg tablets (Zentiva)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"83490"	"Warfarin 3mg tablets (Zentiva)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"83611"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Lexon (UK) Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"84103"	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Ethigen Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"84661"	"Warfarin 500microgram tablets (Zentiva Pharma UK Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"84695"	"Heparin sodium 20,000units/20ml solution for injection ampoules (LEO Pharma)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"84751"	"Heparin sodium 5,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"84945"	"Heparin sodium 20,000units/20ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"85094"	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes (Colorama Pharmaceuticals Ltd)"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"85412"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"85413"	"Rivaroxaban 1mg/ml oral suspension sugar free"	"Rivaroxaban"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080201"	"Rivaroxaban"
"85637"	"Heparin sodium 10,000units/10ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"85714"	"Warfarin 1mg/5ml oral solution"	"Warfarin"	"200microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"85798"	"Warfarin 500microgram tablets (Sun Pharmaceutical Industries Europe B.V.)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"86249"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
"86921"	"Heparin sodium 25,000units/5ml solution for injection vials (LEO Pharma)"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"86940"	"Apixaban 5mg tablets (A A H Pharmaceuticals Ltd)"	"Apixaban"	"5mg"	"Tablet"	"Oral"	"02080201"	"Apixaban"
"87596"	"Heparin sodium 50units/5ml I.V. flush solution ampoules (Kent Pharma (UK) Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"87607"	"Apixaban 5mg tablets (Teva UK Ltd)"	"Apixaban"	"5mg"	"Tablet"	"Oral"	"02080201"	"Apixaban"
