"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"34417"	"Warfarin 3mg tablets (Teva UK Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34418"	"Warfarin 5mg tablets (Mylan)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34517"	"Warfarin 1mg tablets (Mylan)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34526"	"Warfarin 3mg tablets (Mylan)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34576"	"Warfarin 1mg Tablet (Lagap)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34691"	"Warfarin 5mg Tablet (Regent Laboratories Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34758"	"Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34864"	"Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"34918"	"Warfarin 5mg tablets (Actavis UK Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"35033"	"Heparin sodium 5,000units/5ml solution for injection vials"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"35941"	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"35955"	"Calciparine 5,000units/0.2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Heparin"
"36099"	"Warfarin 1mg/5ml oral suspension"	"Warfarin"	"200microgram/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"36142"	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Heparin"
"36172"	"Clexane 300mg/3ml solution for injection multidose vials (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"02080100"	"Enoxaparin"
