"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"533341000000119"	1038	"9Oc0"	"9Oc0.00"	"attends lipid disorder monitoring"	"300971000000106"	"533341000000119"	37
"533641000000111"	8145	"9Oc1"	"9Oc1.00"	"lipid disorder monitoring declined"	"301111000000107"	"533641000000111"	37
"534301000000115"	1518	"9Oc5"	"9Oc5.00"	"lipid disorder monitoring verbal invitation"	"716461000000106"	"1569011000000113"	37
"534501000000112"	15865	"9Oc6"	"9Oc6.00"	"lipid disorder monitoring telephone invitation"	"716741000000100"	"1569291000000110"	37
"557061000000112"	29661	"9Oc2"	"9Oc2.00"	"lipid disorder monitoring first letter"	"716001000000100"	"1568561000000113"	37
"557071000000117"	4913	"9Oc3"	"9Oc3.00"	"lipid disorder monitoring second letter"	"716751000000102"	"1569301000000114"	37
"557081000000115"	1035	"9Oc4"	"9Oc4.00"	"lipid disorder monitoring third letter"	"716731000000109"	"1570391000000117"	37
"607761000006117"	1643	"PH335-1"	"PH33511"	"darier's disease - pseudoxanthoma elasticum"	"252246005"	"375685018"	32
"666301000006115"	59191	"C320-1"	"C320.11"	"familial hypercholesterolaemia"	"398036000"	"1773186016"	32
"734191000006118"	7422	"C3203"	"C320300"	"low-density-lipoprotein-type (ldl) hyperlipoproteinaemia"	"398036000"	"1783622013"	32
"735661000006117"	564	"C320-3"	"C320.13"	"low density lipoproteinaemia"	"398036000"	"1783622013"	32
"742751000006118"	611072	"8B28"	"8B28.00"	"lipid-lowering therapy"	"134350008"	"216152019"	32
"788841000006119"	72	"C3251"	"C325100"	"hypo-alpha-lipoproteinaemia"	"190785000"	"293304017"	32
"794161000006118"	2330	"C320-2"	"C320.12"	"familial hyperbetalipoproteinaemia"	"398036000"	"1783622013"	32
"794171000006113"	1266	"C322-1"	"C322.11"	"fredrickson type iib lipidaemia"	"238040008"	"356800016"	32
"794181000006111"	149	"C322-2"	"C322.12"	"fredrickson type iii lipidaemia"	"398796005"	"1783671015"	32
"794211000006110"	1957	"C3204"	"C320400"	"fredrickson's hyperlipoproteinaemia, type iia"	"398036000"	"1783622013"	32
"840781000006113"	8743	"9Oc"	"9Oc..00"	"lipid disorder monitoring administration"	"315598000"	"460116012"	1
"881701000006116"	1551	"C32-99"	"C32..99"	"disorders of lipid metabolism"	"267431006"	"881701000006116"	32
"881711000006118"	166	"C32y-99"	"C32y.99"	"other lipid metabolism disord."	"623021000000101"	"881711000006118"	32
"918351000006118"	2103	"PC0653"	NA	"patient advised re low cholesterol diet"	"918351000006102"	"918351000006118"	42
"1011701000006118"	5485	"ALLERGY2.12"	NA	"adverse reaction to drugs used in hyperlipidaemia"	"1011701000006102"	"1011701000006118"	5
"1591681000006119"	1673	"EMISNQRE70"	NA	"refuses lipid disorder monitoring"	"1591681000006103"	"1591681000006119"	37
"1591691000006116"	33	"EMISNQLI19"	NA	"lipid disorder monitoring default"	"1591691000006100"	"1591691000006116"	37
"1591701000006116"	1	"EMISNQLI20"	NA	"lipid disorder monitoring 1st letter"	"1591701000006100"	"1591701000006116"	37
"1591751000006117"	3	"EMISNQLI25"	NA	"lipid disorder monitoring deleted"	"1591751000006101"	"1591751000006117"	37
"1591761000006115"	1361	"EMISNQLI26"	NA	"lipid disorder monitoring check done"	"1591761000006104"	"1591761000006115"	37
"1659061000000112"	15561	"1W1"	"1W1..00"	"possible familial hypercholesterolaemia"	"473145005"	"2956064011"	27
"1675011000000111"	1551	"66X0"	"66X0.00"	"lipid disorder treatment started"	"759151000000101"	"1675011000000111"	1
"1675461000000115"	41	"66X1"	"66X1.00"	"lipid disorder treatment stopped"	"759191000000109"	"1675461000000115"	1
"1675631000000110"	621	"66X2"	"66X2.00"	"lipid disorder treatment changed"	"759211000000108"	"1675631000000110"	1
