"medcodeid"	"readterm"
"7504441000006114"	"Measurement of body mass index"
"7508801000006119"	"Patient advised about weight management"
"7597101000006110"	"Self-induced vomiting to lose weight"
"7685731000006119"	"Pathology specimen submitted"
"7758811000006114"	"Obesity due to melanocortin 4 receptor deficiency"
"7771291000006114"	"Weight management programme"
"7771301000006110"	"Weight management program"
"7833991000006118"	"Overweight in adulthood with body mass index of 25 or more but less than 30"
"7879461000006116"	"Weight"
"7879471000006111"	"Weight (property)"
"8024931000006112"	"Severe obesity"
"8189651000006113"	"[D]Weight, failure to gain, infant"
"8224961000006113"	"Dieting for weight loss"
"8231711000006113"	"Excepted from obesity quality indicators - patient unsuitable"
"8231731000006119"	"Excepted from obesity quality indicators - informed dissent"
"8268241000006115"	"Weight chart"
"8270211000006112"	"Anti-obesity drug therapy"
"8278851000006114"	"Referral to weight management GPwSI (general practitioner with special interest)"
"8286991000006119"	"Baseline BMI (body mass index)"
"8291811000006111"	"Maximum BMI (body mass index)"
"9423891000006114"	"Slow weight gain"
"11905011000006114"	"O/E - weight"
"11923361000006119"	"Finding of body mass index"
"11929721000006110"	"Expectation of weight management programme"
"12113161000006113"	"Obese class I"
"12113181000006115"	"Obese class II"
"13638231000006115"	"Self reported body weight"
"13911231000006116"	"Obesity in adolescence"
"13926671000006119"	"Obese class III"
"14166701000006113"	"Weight loss process"
"14176391000006111"	"Referral to weight management service"
"14176401000006113"	"Weight management service not available"
"14196651000006116"	"Catheter submitted as specimen"
"253669010"	"Standing height"
"253672015"	"O/E -height within 10% average"
"253673013"	"O/E-height 10-20% over average"
"253676017"	"O/E - height NOS"
"271181000006113"	"O/E-height > 20% below average"
"272151000006114"	"O/E -height > 20% over average"
"284561000006119"	"O/E - height 10-20% < average"
"923831000006115"	"O/E - height"
"982601000006111"	"Height (Over)"
"982611000006114"	"Height (Under)"
"1910921000006114"	"Estimated height"
"1910931000006112"	"Reported height"
"2374151000000117"	"Mid-parental height"
"2374191000000113"	"Predicted adult height"
"2405041000000118"	"Heel height of footwear"
"2618501000000117"	"Body height measurement declined"
"2636611000000113"	"Unsuitable for body height measurement"
"2729021000006118"	"Measuring height of patient"
"3315711000006110"	"Body height measure"
"3315721000006119"	"Body height"
"3667431000006112"	"Decrease in height"
"4551671000006115"	"On examination - height"
"4551681000006117"	"O/E - height greater than 20% below average"
"4551701000006119"	"O/E - height 10-20% below average"
"4551761000006118"	"O/E - height greater than 20% over average"
"5256071000006119"	"General finding of height"
"5256131000006116"	"Has grown in height"
"5526601000006112"	"Height / growth measure"
"5529851000006116"	"Has not grown in height"
"5582551000006115"	"Fear of heights"
"5892171000006118"	"Finding of measures of body height and growth"
"5990011000006117"	"Normal height"
"6922511000006116"	"Height below average"
"8433591000006111"	"Body height growth rate"
"11905141000006112"	"O/E - height"
