"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"LipidRegulatingMed"
"2906841000033112"	"Ezetrol 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe"	"10.000mg"	"2120000"	"Ezetimibe"
"2973941000033116"	"Simvador 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	"2120000"	"Simvastatin"
"2974041000033119"	"Simvador 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	"2120000"	"Simvastatin"
"2974141000033115"	"Simvador 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	"2120000"	"Simvastatin"
"2994041000033110"	"Nicotinic acid 750mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid"	"750.000mg"	"2120000"	"Nicotinic acid"
"2994141000033114"	"Nicotinic acid 1g modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid"	"1.000gram"	"2120000"	"Nicotinic acid"
"2994241000033119"	"Niaspan 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid/Niaspan"	"500.000mg"	"2120000"	"Nicotinic acid/Niaspan"
"2994341000033112"	"Niaspan 750mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid/Niaspan"	"750.000mg"	"2120000"	"Nicotinic acid/Niaspan"
"2994441000033118"	"Niaspan 1g modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid/Niaspan"	"1.000gram"	"2120000"	"Nicotinic acid/Niaspan"
"2994541000033117"	"Nicotinic Acid Titration Starter Pack M/R tablets 7 x 375 mg, 7 x 500 mg, 7 x 750 mg"	"Tablet"	"Oral"	"Nicotinic acid"	NA	NA	"Nicotinic acid"
"2994641000033116"	"Niaspan titration pack"	"Not applicable"	NA	"Niaspan"	NA	"2120000"	"Niaspan"
"3086341000033118"	"Colestyramine 4g oral powder sachets"	"Powder"	"Oral"	"Colestyramine"	"4.000gram"	"2120000"	"Colestyramine"
"3086441000033112"	"Colestyramine 4g oral powder sachets sugar free"	"Powder"	"Oral"	"Colestyramine"	"4.000gram"	"2120000"	"Colestyramine"
"3140841000033113"	"Ranzolont 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	NA	"Simvastatin"
"3140941000033117"	"Ranzolont 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	NA	"Simvastatin"
"3141041000033110"	"Ranzolont 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	NA	"Simvastatin"
"3188941000033114"	"Fenofibrate micronised 200mg capsules"	"Capsule"	"Oral"	"Fenofibrate"	"200.000mg"	"2120000"	"Fenofibrate"
"3292441000033116"	"Simvastatin 20mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 20.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3292541000033115"	"Simvastatin 40mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 40.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3292641000033119"	"Simvastatin 80mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 80.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3292741000033111"	"Inegy 10mg/20mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 20.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3292841000033118"	"Inegy 10mg/40mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 40.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3292941000033114"	"Inegy 10mg/80mg tablets"	"Tablet"	"Oral"	"Ezetimibe/Simvastatin"	"10.000mg + 80.000mg"	"2120000"	"Ezetimibe/Simvastatin"
"3304141000033110"	"Simvastatin 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	NA	"Simvastatin"
"3836041000033114"	"Rosuvastatin 5mg tablets"	"Tablet"	"Oral"	"Rosuvastatin"	"5.000mg"	NA	"Rosuvastatin"
"3836141000033113"	"Crestor 5mg tablets"	"Tablet"	"Oral"	"Rosuvastatin"	"5.000mg"	NA	"Rosuvastatin"
"3868741000033118"	"Atorvastatin 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Atorvastatin"	"4.000mg/1.000ml"	NA	"Atorvastatin"
"4152341000033115"	"Simvastatin 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	NA	"Simvastatin"
"4310841000033113"	"Colesevelam 625mg tablets"	"Tablet"	"Oral"	"Colesevelam"	"625.000mg"	"2120000"	"Colesevelam"
"4310941000033117"	"Cholestagel 625mg tablets"	"Tablet"	"Oral"	"Colesevelam"	"625.000mg"	"2120000"	"Colesevelam"
"4805841000033118"	"Nicotinic acid 1g / Laropiprant 20mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid"	"20.000mg + 1.000gram"	NA	"Nicotinic acid"
"4941641000033116"	"Simvador 80mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"80.000mg"	"2120000"	"Simvastatin"
"5007141000033112"	"Luvinsta XL 80mg tablets"	"Modified-release tablet"	"Oral"	"Fluvastatin"	"80.000mg"	NA	"Fluvastatin"
"5244841000033110"	"Tredaptive 1000mg/20mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nicotinic acid"	"20.000mg + 1.000gram"	NA	"Nicotinic acid"
"5711041000033117"	"Pravastatin 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Pravastatin"	"8.000mg/1.000ml"	NA	"Pravastatin"
"5817741000033114"	"Simvastatin 20mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	NA	"Simvastatin"
"5817841000033116"	"Simvastatin 40mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	NA	"Simvastatin"
"5888441000033115"	"Simvastatin 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	NA	"Simvastatin"
