"medcodeid"	"term"
"7879781000006118"	"aki (acute kidney injury) due to trauma"
"7954311000006119"	"acute kidney failure stage 1"
"7954321000006110"	"acute renal failure stage 1"
"7954331000006113"	"acute kidney failure stage 2"
"7954341000006115"	"acute renal failure stage 2"
"7954351000006118"	"acute kidney failure stage 3"
"7966611000006114"	"chronic kidney disease stage 5 due to type 2 diabetes mellitus"
"7966641000006113"	"chronic kidney disease stage 4 due to type 2 diabetes mellitus"
"7966691000006116"	"chronic kidney disease stage 3 due to type 2 diabetes mellitus"
"7966761000006115"	"chronic kidney disease stage 2 due to type 2 diabetes mellitus"
"7966791000006111"	"chronic kidney disease stage 1 due to type 2 diabetes mellitus"
"7985971000006118"	"laparoscopic biopsy of transplanted kidney"
"8027391000006115"	"chronic kidney disease stage 1 due to type 1 diabetes mellitus"
"8027491000006113"	"chronic kidney disease stage 5 due to type 1 diabetes mellitus"
"8030421000006114"	"hypertensive heart and chronic kidney disease stage 4"
"8030431000006112"	"hypertensive heart and chronic kidney disease stage 3"
"8030441000006119"	"hypertensive heart and chronic kidney disease stage 2"
"8030451000006117"	"hypertensive heart and chronic kidney disease stage 1"
"8036941000006111"	"chronic kidney disease stage 1 due to hypertension"
"8040661000006119"	"chronic kidney disease stage 4 due to hypertension"
"8040681000006112"	"chronic kidney disease stage 3 due to hypertension"
"8040691000006110"	"chronic kidney disease stage 2 due to hypertension"
"8040771000006116"	"prerenal renal failure"
"8040781000006118"	"pre-renal acute kidney injury"
"8040791000006115"	"acute renal failure"
"8043351000006117"	"history of acute renal failure"
"8043981000006114"	"nontraumatic aki (acute kidney injury)"
"8044061000006119"	"hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus"
"8104231000006115"	"ckd (chronic kidney disease) stage 3 with proteinuria"
"8104261000006112"	"ckd (chronic kidney disease) stage 3 without proteinuria"
"8104301000006115"	"ckd (chronic kidney disease) stage 3a with proteinuria"
"8104381000006112"	"ckd (chronic kidney disease) stage 3b with proteinuria"
"8104451000006111"	"ckd (chronic kidney disease) stage 4 with proteinuria"
"8104551000006112"	"ckd (chronic kidney disease) stage 5 without proteinuria"
"8117051000006114"	"active on kidney transplant waiting list"
"8117071000006116"	"active on kidney and pancreas transplant waiting list"
"8117261000006115"	"not on kidney transplant waiting list"
"8117951000006110"	"suspended from kidney transplant waiting list"
"8212401000006115"	"anaemia co-occurrent and due to chronic kidney disease stage 3"
"8214711000006116"	"chronic kidney disease monitoring invitation"
"8218841000006117"	"chronic kidney disease monitoring verbal invitation"
"8219121000006112"	"chronic kidney disease monitoring telephone invitation"
"8345931000006110"	"chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3"
"8346001000006110"	"chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1"
"8346021000006117"	"chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2"
"8425491000006113"	"acute kidney injury due to acute tubular necrosis due to hypovolaemia"
"8425521000006110"	"acute kidney injury due to acute tubular necrosis due to sepsis"
"9681361000006119"	"insertion of dialysis catheter into femoral vein"
"12022411000006113"	"acquired cystic disease associated renal cell carcinoma"
"12029931000006117"	"adpkd - autosomal dominant polycystic kidney disease"
"12051941000006113"	"renal parenchymal disease"
"12704471000006116"	"end-stage renal disease"
"12716071000006117"	"predicted stage chronic kidney disease"
"12717101000006112"	"nephritis, nephrosis and nephrotic syndrome"
"13485211000006111"	"acute kidney injury due to disease caused by sars-cov-2 (severe acute respiratory syndrome coronavirus 2)"
"14174321000006116"	"chronic kidney disease stage 5 due to drug induced diabetes mellitus"
