"medcodeid"	"term"
"505126019"	"polycystic kidney disease"
"507483018"	"dialysis disequilibrium"
"507993019"	"acute hypercalcaemia of dialysis"
"509108014"	"chronic uraemia"
"509111010"	"chronic renal failure"
"1221119015"	"arf - acute renal failure"
"1226060014"	"autosomal recessive polycystic kidney disease"
"1227722017"	"[v]aftercare involving renal dialysis nos"
"1227723010"	"[v]aftercare involving peritoneal dialysis"
"2474415018"	"dialysis fluid examination"
"2474453011"	"peritoneal dialysis fluid cell count"
"2645796013"	"acute renal failure due to ace inhibitor"
"2645965011"	"stenosis of arteriovenous dialysis fistula"
"2674486017"	"extracorporeal albumin haemodialysis"
"2675886019"	"creation of graft fistula for dialysis"
"2692168016"	"automated peritoneal dialysis"
"2767154014"	"chronic kidney disease stage 5"
"2767383018"	"chronic kidney disease stage 1"
"2767384012"	"chronic kidney disease stage 2"
"2767385013"	"chronic kidney disease stage 4"
"2771041011"	"chronic kidney disease"
"2773184015"	"chronic kidney disease stage 3"
"3525758015"	"insertion of tunneled hemodialysis catheter"
"3525759011"	"insertion of tunnelled haemodialysis catheter"
"3527814014"	"chronic kidney disease clinical management plan"
"3528309015"	"mckd - multicystic kidney disease"
"90461000006118"	"transplantation of kidney from cadaver"
"90471000006113"	"live donor renal transplant"
"106291000006118"	"thomas intravascular shunt for dialysis"
"127091000006118"	"steroid-sensitive nephrotic syndrome"
"176321000006119"	"renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism"
"176711000006111"	"renal dialysis with complication, without blame"
"176741000006110"	"renal failure after crushing"
"176771000006119"	"renal failure following crush syndrome"
"177251000006119"	"renal transplant with complication, without blame"
"177311000006112"	"renal tubulo-interstitial disorders in neoplastic diseases"
"177321000006116"	"renal tubulo-interstitial disorders in diseases ec"
"177341000006111"	"renal tubulo-interstitial disorders in transplant rejection"
"181021000006119"	"removal of ambulatory peritoneal dialysis catheter"
"215521000000116"	"end stage renal disease"
"216921000006111"	"post-delivery acute renal failure - delivered with p/n prob"
"218351000000112"	"post operative renal failure"
"228101000006113"	"placement ambulatory apparatus compensation renal failure"
"228111000006111"	"placement ambulatory apparatus- compensate renal failure nos"
"228121000006115"	"placement ambulatory apparatus- compensate renal failure os"
"228131000006117"	"placement ambulatory dialysis apparatus - compens renal fail"
"228211000006117"	"placement other apparatus for compensation for renal failure"
"228221000006113"	"placement other apparatus- compensate for renal failure nos"
"228231000006111"	"placement other apparatus- compensate for renal failure os"
"304031000000117"	"chronic kidney disease stage 1"
"304051000000112"	"chronic kidney disease stage 2"
"304071000000115"	"chronic kidney disease stage 3"
"304091000000116"	"chronic kidney disease stage 4"
"304111000000114"	"chronic kidney disease stage 5"
"366671000000118"	"interventions associated with transplantation of kidney"
"372621000000114"	"allotransplantation of kidney from beating heart cadaver"
"375841000000114"	"peritoneal dialysis nec"
"380061000000118"	"interventions associated with transplantation of kidney nos"
"380101000000116"	"examination of recipient after kidney transplant"
"384641000006114"	"[x]failure sterile precautions dur kidney dialys/other perf"
"386181000000111"	"pre-transplantation of kidney work-up, recipient"
"387351000000117"	"examination of live donor after kidney transplant"
"387911000000115"	"pre-transplantation of kidney work-up, live donor"
"394661000006112"	"[x]kidny dialysis caus abn reac pt/lat comp no misad at time"
"399381000000115"	"allotransplantation of kidney from cadaver nec"
"404611000006119"	"[x]oth disordrs/kidney+ureter/infects+parasitic diseases ce"
"406821000000110"	"chronic kidney disease monitoring administration"
"407481000000111"	"chronic kidney disease monitoring"
"408261000000119"	"chronic kidney disease monitoring first letter"
"408281000000111"	"chronic kidney disease monitoring second letter"
"408301000000112"	"chronic kidney disease monitoring third letter"
"408321000000115"	"chronic kidney disease monitoring verbal invite"
"408341000000110"	"chronic kidney disease monitoring telephone invite"
"408381000000119"	"chronic kidney disease annual review"
"408661000000117"	"predicted stage chronic kidney disease"
"409261000006118"	"[x]other disorders of kidney+ureter in other diseases ce"
"409591000006112"	"[x]other disorders resulting/impaired renal tubular function"
"424731000006111"	"renal failure"
"424761000006119"	"renal tubulo-interstitial disease"
"424771000006114"	"[x]renal tubulo-interstitial disorders in other diseases ce"
"424781000006112"	"[x]renal tubulo-interstitial disorders/metabolic diseases ce"
"424791000006110"	"[x]renal tubulo-interstitial disorders/transplant rejection"
"424811000006114"	"[x]renal tubulo-interstitial disordrs/neoplastic diseases ce"
"441151000006115"	"accidental cut, puncture, perforation or haemorrhage during kidney dialysis"
"441161000006118"	"accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion"
"446291000006111"	"accidental cut/puncture/perf/haem'ge during renal dialysis"
"460091000006111"	"acute renal failure"
"460121000006110"	"acute renal failure following labour and delivery"
"478131000006115"	"allotransplantation of kidney from cadaver"
"480871000006117"	"anaemia of chronic renal failure"
"500371000006119"	"autotransplant of kidney"
"526441000000118"	"did not attend chronic kidney disease monitoring clinic"
"554481000006111"	"chronic glomerulonephritis + diseases ec"
"557811000000119"	"chronic kidney disease stage 3a"
"557831000000110"	"chronic kidney disease stage 3b"
"581531000006115"	"congenital cystic renal disease"
"595541000000119"	"chronic kidney disease stage 1 with proteinuria"
"595601000000118"	"chronic kidney disease stage 1 without proteinuria"
"595661000000119"	"chronic kidney disease stage 2 with proteinuria"
"595721000000116"	"chronic kidney disease stage 2 without proteinuria"
"595811000000117"	"chronic kidney disease stage 3 with proteinuria"
"595871000000110"	"chronic kidney disease stage 3 without proteinuria"
"595931000000116"	"chronic kidney disease stage 3a with proteinuria"
"595991000000115"	"chronic kidney disease stage 3a without proteinuria"
"596051000000115"	"chronic kidney disease stage 3b with proteinuria"
"596131000000114"	"chronic kidney disease stage 3b without proteinuria"
"596191000000110"	"chronic kidney disease stage 4 with proteinuria"
"596261000000111"	"chronic kidney disease stage 4 without proteinuria"
"596321000000110"	"chronic kidney disease stage 5 with proteinuria"
"596401000000111"	"chronic kidney disease stage 5 without proteinuria"
"618391000000118"	"ckd stage 1 with proteinuria"
"618401000000115"	"ckd stage 1 without proteinuria"
"618411000000118"	"ckd stage 2 with proteinuria"
"618421000000112"	"ckd stage 2 without proteinuria"
"618431000000114"	"ckd stage 3 with proteinuria"
"618441000000117"	"ckd stage 3 without proteinuria"
"618451000000119"	"ckd stage 3a with proteinuria"
"618461000000116"	"ckd stage 3a without proteinuria"
"618471000000111"	"ckd stage 3b with proteinuria"
"618481000000113"	"ckd stage 3b without proteinuria"
"618491000000110"	"ckd stage 4 with proteinuria"
"618501000000116"	"ckd stage 4 without proteinuria"
"618511000000119"	"ckd stage 5 with proteinuria"
"618521000000113"	"ckd stage 5 without proteinuria"
"619541000006116"	"dialysis for renal failure"
"637771000000113"	"ligation of arteriovenous dialysis fistula"
"638111000000115"	"ligation of arteriovenous dialysis graft"
"641471000006117"	"end stage renal failure"
"641491000006116"	"end-stage renal disease"
"663551000006118"	"failure of sterile precautions during renal dialysis"
"670581000006113"	"fetus or neonate affected by maternal renal disease"
"670591000006111"	"fetus or neonate affected by maternal renal or urinary disease"
"677461000006115"	"nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis"
"677471000006110"	"nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis"
"677481000006113"	"nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis"
"677561000006119"	"nephrotic syndrome in systemic lupus erythematosus"
"677621000006112"	"nephrotic syndrome with membranoproliferative glomerulonephritis"
"703481000006116"	"microcystic type congenital nephrotic syndrome"
"710221000006113"	"finnish congenital nephrotic syndrome"
"713611000006110"	"mechanical failure of instrument or apparatus during kidney dialysis"
"713671000006118"	"mechanical failure of apparatus during renal dialysis"
"741701000006114"	"hypertensive heart and renal disease with (congestive) heart failure"
"754061000006111"	"kidney transplant with complication, without blame"
"754781000006116"	"kidney dialysis with complication, without blame"
"766101000006114"	"foreign object left in body during renal dialysis"
"773041000006111"	"insertion of chronic ambulatory peritoneal dialysis catheter"
"789941000006117"	"hypertensive heart and renal disease with both (congestive) heart failure and renal failure"
"811521000006115"	"h/o: renal disease"
"855641000006115"	"chronic kidney rejection"
"886631000006110"	"renal failure nos"
"886641000006117"	"other kidney/urinary diseases"
"886721000006116"	"renal disease nos"
"886871000006112"	"kidney/urinary disease nos"
"887731000006115"	"renal failure"
"893231000006117"	"cystic kidney disease"
"900121000006113"	"renal transplant rejected"
"906301000006115"	"[rfc] renal probs including renal failure"
"906311000006117"	"[rfc] continuous ambulatory peritoneal dialysis"
"906351000006116"	"[rfc] renal transplant"
"988961000006115"	"renal transplant rejected"
"994391000006115"	"chronic kidney disease stage"
"994411000006115"	"chronic kidney disease stage 2"
"994421000006111"	"chronic kidney disease stage 3"
"994441000006116"	"chronic kidney disease stage 5"
"999981000006116"	"exception reporting - chronic kidney disease quality indicators"
"999991000006118"	"excepted from chronic kidney disease quality indicators - patient unsuitable"
"1000001000006114"	"excepted from chronic kidney disease quality indicators - informed dissent"
"1549841000006116"	"allotransplantation of kidney from non-beating heart cadaver"
"1550021000006110"	"os interventions associated with transplantation of kidney"
"1573151000006111"	"no evidence of chronic kidney disease"
"1705621000000113"	"flushing of peritoneal dialysis catheter"
"1705781000006113"	"acute renal failure due to obstruction"
"1743241000006119"	"continuous ambulatory peritoneal dialysis associated peritonitis"
"1770901000006119"	"chronic kidney disease diagnosis reviewed"
"1816581000006110"	"kidney failure unspecified"
"1823941000006114"	"chronic kidney disease confirmed"
"1825111000006112"	"chronic kidney disease diagnosis discussed with patient"
"1847091000006110"	"aneurysm of superficialised artery of dialysis arteriovenous fistula"
"1847111000006118"	"aneurysm of anastomotic site of dialysis arteriovenous fistula"
"1847541000006113"	"wilms' tumour and nephrotic syndrome with pseudohermaphroditism"
"1847641000006114"	"acute renal failure induced by non-steroidal anti-inflammatory drug"
"1847891000006118"	"inherited renal tubule insufficiency with cholestatic jaundice"
"1848741000006116"	"complication of peritoneal dialysis"
"1850891000006119"	"reason for influenza vaccine - chronic kidney disease"
"1856481000006117"	"chronic kidney disease follow-up"
"1870801000006111"	"infection of haemodialysis arteriovenous fistula"
"1889401000006113"	"chronic kidney disease screening administration"
"1889421000006115"	"chronic kidney disease screening invitation"
"1905531000006112"	"excision of rejected transplanted kidney"
"1927751000006113"	"complication of dialysis"
"1932031000006119"	"3d study - problems with chronic kidney disease management"
"1940501000006119"	"ckd g4a1 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a1"
"1940511000006116"	"ckd g4a2 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a2"
"1940521000006112"	"ckd g4a3 - chronic kidney disease with glomerular filtration rate category g4 and albuminuria category a3"
"1940531000006110"	"ckd g5a1 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a1"
"1940541000006117"	"ckd g5a2 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a2"
"1940551000006115"	"ckd g5a3 - chronic kidney disease with glomerular filtration rate category g5 and albuminuria category a3"
"1940561000006118"	"ckd g1a1 - chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a1"
"1940571000006113"	"ckd g1a2 - chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a2"
"1940581000006111"	"ckd g1a3 - chronic kidney disease with glomerular filtration rate category g1 and albuminuria category a3"
"1940591000006114"	"ckd g2a1 - chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a1"
"1940601000006118"	"ckd g2a2 - chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a2"
"1940611000006115"	"ckd g2a3 - chronic kidney disease with glomerular filtration rate category g2 and albuminuria category a3"
"1940621000006111"	"ckd g3aa1 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a1"
"1940631000006114"	"ckd g3aa2 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a2"
"1940641000006116"	"ckd g3aa3 - chronic kidney disease with glomerular filtration rate category g3a and albuminuria category a3"
"1940651000006119"	"ckd g3ba1 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a1"
"1940661000006117"	"ckd g3ba2 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a2"
"1940671000006112"	"ckd g3ba3 - chronic kidney disease with glomerular filtration rate category g3b and albuminuria category a3"
"1985201000006119"	"history of acute kidney injury"
"2002941000006114"	"chronic kidney disease monthly review"
"2002961000006113"	"chronic kidney disease 3 monthly review"
"2002971000006118"	"chronic kidney disease 4 monthly review"
"2002981000006115"	"chronic kidney disease six monthly review"
"2115881000000117"	"chronic kidney disease self-management plan review"
"2117811000000117"	"chronic kidney disease self-management plan agreed"
"2145851000000117"	"chronic kidney disease screening"
"2180741000000113"	"acute renal failure induced by aminoglycoside"
"2180861000000117"	"acute renal failure induced by cisplatin"
"2180901000000112"	"acute renal failure induced by cyclosporin a"
"2184271000000115"	"acute renal failure due to non-traumatic rhabdomyolysis"
"2185551000000111"	"acute renal failure induced by animal toxin"
"2185591000000115"	"acute renal failure induced by plant toxin"
"2185631000000115"	"acute renal failure induced by heavy metal"
"2189151000000117"	"urological complication of renal transplant"
"2191151000000117"	"acute renal failure induced by poison"
"2191221000000118"	"vascular complication of renal transplant"
"2191301000000116"	"acute renal failure induced by radiographic contrast media"
"2191381000000114"	"acute renal failure induced by solvent"
"2195121000000113"	"ruptured aneurysm of dialysis vascular access"
"2195661000000114"	"aneurysm of dialysis arteriovenous fistula"
"2195721000000112"	"aneurysm of needle site of dialysis arteriovenous fistula"
"2197961000000113"	"rupture of artery of transplanted kidney"
"2198001000000111"	"rupture of vein of transplanted kidney"
"2198081000000118"	"acute renal failure due to traumatic rhabdomyolysis"
"2198141000000110"	"stenosis of vein of transplanted kidney"
"2204191000000110"	"acute kidney injury"
"2206791000000119"	"acute kidney injury stage 1"
"2206811000000118"	"acute kidney injury stage 2"
"2206831000000114"	"acute kidney injury stage 3"
"2209021000000112"	"aneurysm of vein of transplanted kidney"
"2209101000000119"	"aneurysm of artery of transplanted kidney"
"2210341000000113"	"stenosis of dialysis vascular access"
"2210381000000117"	"thrombosis of dialysis vascular access"
"2211311000000117"	"haemodialysis first use syndrome"
"2211591000000116"	"thrombus in peritoneal dialysis catheter"
"2211671000000119"	"anaphylactoid reaction due to haemodialysis"
"2214211000000112"	"acute renal failure induced by toxin"
"2221251000000115"	"discussion about kidney transplantation"
"2232261000000110"	"aneurysm of dialysis vascular access"
"2234541000000115"	"thrombosis of artery of transplanted kidney"
"2237821000000118"	"occlusion of dialysis vascular access"
"2237861000000114"	"infection of dialysis vascular access"
"2237901000000119"	"haemorrhage of dialysis vascular access"
"2237941000000116"	"rupture of dialysis vascular access"
