"medcode"	"term"
"72004"	"excision of rejected transplanted kidney"
"72336"	"priming haemodialysis lines"
"72458"	"post-delivery acute renal failure unspecified"
"72877"	"[x]other cystic kidney diseases"
"72962"	"chronic kidney disease monitoring second letter"
"72964"	"chronic kidney disease monitoring third letter"
"73373"	"fetus or neonate affected by maternal renal/urinary disease"
"74905"	"haemodialysis training"
"83513"	"placement other apparatus for compensation for renal failure"
"88494"	"chronic kidney disease monitoring verbal invite"
"88597"	"automated peritoneal dialysis"
"89332"	"predicted stage chronic kidney disease"
"89924"	"allotransplantation of kidney from cadaver, heart-beating"
"90952"	"pre-transplantation of kidney work-up, recipient"
"93366"	"interventions associated with transplantation of kidney"
"94373"	"nephrotic syndrome with other pathological kidney lesions"
"94789"	"chronic kidney disease stage 1 with proteinuria"
"94793"	"chronic kidney disease stage 3 with proteinuria"
"94842"	"[x]renal tubulo-interstitial diseases"
"94964"	"post-transplantation of kidney examination, live donor"
"94965"	"chronic kidney disease stage 3a"
"95121"	"chronic kidney disease stage 2 without proteinuria"
"95122"	"chronic kidney disease stage 4 with proteinuria"
"95123"	"chronic kidney disease stage 3 without proteinuria"
"95145"	"ckd stage 3 with proteinuria"
"95146"	"chronic kidney disease stage 2 with proteinuria"
"95175"	"chronic kidney disease stage 3a without proteinuria"
"95176"	"ckd stage 3a without proteinuria"
"95177"	"chronic kidney disease stage 3b without proteinuria"
"95178"	"chronic kidney disease stage 3b with proteinuria"
"95179"	"chronic kidney disease stage 3b"
"95180"	"ckd stage 3b with proteinuria"
"95188"	"ckd stage 3 without proteinuria"
"95405"	"chronic kidney disease stage 5 without proteinuria"
"95406"	"chronic kidney disease stage 4 without proteinuria"
"95408"	"chronic kidney disease stage 3a with proteinuria"
"95422"	"did not attend chronic kidney disease monitoring clinic"
"95508"	"chronic kidney disease stage 5 with proteinuria"
"95571"	"ckd stage 3a with proteinuria"
"95572"	"chronic kidney disease stage 1 without proteinuria"
"96095"	"pre-transplantation of kidney work-up, live donor"
"96133"	"allotransplantation kidney from cadaver, heart non-beating"
"96179"	"post-delivery acute renal failure - delivered with p/n prob"
"96184"	"accid cut,puncture,perf,h'ge - kidney dialysis"
"96347"	"ligation of arteriovenous dialysis fistula"
"96819"	"[x]other disorders resulting/impaired renal tubular function"
"97198"	"acute renal failure due to urinary obstruction"
"97587"	"ckd stage 4 without proteinuria"
"97683"	"ckd stage 5 without proteinuria"
"97758"	"chronic glomerulonephritis + diseases ec"
"97978"	"ckd stage 2 without proteinuria"
"97979"	"ckd stage 2 with proteinuria"
"97980"	"ckd stage 1 with proteinuria"
"98364"	"allotransplantation of kidney from cadaver"
"98888"	"peritoneal dialysis sample"
"99160"	"ckd stage 5 with proteinuria"
"99201"	"nephrotic syndrome in malaria"
"99312"	"ckd stage 4 with proteinuria"
"99644"	"nephrotic syndrome+membranoproliferative glomerulonephritis"
"99692"	"[v]aftercare involving extracorporeal dialysis"
"100205"	"acute-on-chronic renal failure"
"100633"	"ckd stage 3b without proteinuria"
"100693"	"[x]renal tubulo-interstitial disorders/transplant rejection"
"101124"	"continuous ambulatory peritoneal dialysis associated perit"
"101666"	"unspecified abortion with renal failure"
"101756"	"thomas intravascular shunt for dialysis"
"101912"	"dialysis training"
"102210"	"extracorporeal albumin haemodialysis"
"103429"	"post-transplantation of kidney examination, recipient"
"104049"	"interventions associated with transplantation of kidney nos"
"104050"	"os interventions associated with transplantation of kidney"
"104079"	"acquired renal cystic disease"
"104201"	"acute rejection of renal transplant"
"104586"	"flushing of peritoneal dialysis catheter"
"104619"	"chronic kidney disease stage 3"
"104630"	"acute rejection of renal transplant - grade iii"
"104719"	"peritoneal dialysis training"
"104857"	"acute renal failure due to ace inhibitor"
"104905"	"acute-on-chronic rejection of renal transplant"
"104960"	"acute rejection of renal transplant - grade i"
"104963"	"chronic kidney disease stage 4"
"104981"	"chronic kidney disease"
"105009"	"chronic kidney disease screening"
"105143"	"autosomal dominant polycystic kidney disease"
"105151"	"chronic kidney disease stage 5"
"105209"	"acute renal failure due to non-traumatic rhabdomyolysis"
"105238"	"acute kidney injury"
"105267"	"acute renal failure due to traumatic rhabdomyolysis"
"105328"	"cadaveric renal transplant"
"105383"	"chronic kidney disease stage 2"
"105392"	"chronic kidney disease stage 1"
"105436"	"anaphylactoid reaction due to haemodialysis"
"105724"	"unexplained episode of renal transplant dysfunction"
"105739"	"arf - acute renal failure"
"105742"	"aneurysm of anastomotic site of dialysis av fistula"
"105760"	"ruptured aneurysm of dialysis vascular access"
"105787"	"xenograft renal transplant"
"105811"	"renal transplant rejection"
"105919"	"autosomal recessive polycystic kidney disease"
"106045"	"renal vascular disease"
"106301"	"stenosis of vein of transplanted kidney"
"106620"	"chronic rejection of renal transplant"
"106649"	"acute kidney injury stage 1"
"106720"	"thrombosis of dialysis arteriovenous fistula"
"106728"	"acute kidney injury stage 3"
"106860"	"renal failure-associated hyperphosphataemia"
"106866"	"vascular complication of renal transplant"
"106975"	"haemorrhage of dialysis arteriovenous fistula"
"107000"	"acute rejection of renal transplant - grade ii"
"107082"	"occlusion of dialysis arteriovenous fistula"
"107178"	"acute kidney injury stage 2"
"107183"	"discussion about kidney transplantation"
"107188"	"aneurysm of dialysis arteriovenous fistula"
"107220"	"aneurysm of needle site of dialysis arteriovenous fistula"
"107241"	"acute renal failure induced by non-steroid anti-inflamm drug"
"107260"	"infection of dialysis arteriovenous fistula"
"107719"	"ligation of arteriovenous dialysis graft"
"107746"	"stenosis of dialysis vascular access"
"107752"	"urological complication of renal transplant"
"107765"	"renal disorders in systemic disease"
"107771"	"kidney failure unspecified"
"107900"	"disorders associated with peritoneal dialysis"
"107901"	"placement other apparatus- compensate for renal failure os"
