"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"810821000006112"	16945	"14A4"	"14A4.00"	"h/o: myocardial infarct at greater than 60"	"161503005"	"251678012"	32
"813961000006116"	122	"G360"	"G360.00"	"haemopericardium as current complication following acute myocardial infarction"	"194862000"	"299816014"	32
"884151000006119"	7809	"G30-99"	"G30..99"	"myocardial infarction"	"57054005"	"884151000006119"	32
"905351000006113"	4762	"HNG0009"	NA	"[rfc] reason for care : myocardial infarction (mi)"	"905351000006109"	"905351000006113"	12
"967931000006114"	432	"G30B"	"G30B.00"	"acute myocardial infarction of posterolateral wall"	"15990001"	"27071012"	32
"1576271000006117"	697	"EGTON2EGTON433"	NA	"cause of death- myocardial infarction"	"1576271000006101"	"1576271000006117"	37
"1576301000006115"	467	"EGTON2G41"	NA	"cause of death- acute myocardial infarction"	"1576301000006104"	"1576301000006115"	37
"1738171000006114"	3704	"14AT"	"14AT.00"	"history of myocardial infarction"	"399211009"	"2986492018"	32
"1741571000006114"	523	"9hM"	"9hM..00"	"exception reporting - myocardial infarction quality indicators"	"717541000000106"	"1570081000000116"	37
"1741581000006112"	930	"9hM0"	"9hM0.00"	"excepted from myocardial infarction quality indicators - informed dissent"	"715971000000103"	"1568531000000115"	37
"1741591000006110"	1961	"9hM1"	"9hM1.00"	"excepted from myocardial infarction quality indicators - patient unsuitable"	"715981000000101"	"1568541000000112"	37
"2503001000006118"	3	"^ESCTAC250300"	NA	"acute myocardial infarction of basal-lateral wall"	"282006"	"1559015"	32
"2616611000006112"	1	"^ESCTIN261661"	NA	"inferior myocardial infarction on electrocardiogram"	"7326005"	"2693357019"	31
"2729611000000111"	1	"^ESCT1171765"	NA	"postoperative transmural myocardial infarction"	"1089441000000103"	"2729611000000111"	32
"2729631000000115"	3	"^ESCT1171766"	NA	"acute nontransmural myocardial infarction"	"1089451000000100"	"2729631000000115"	32
"2729671000000118"	235	"^ESCT1171768"	NA	"acute transmural myocardial infarction"	"1089471000000109"	"2729671000000118"	32
"2855301000006112"	10808	"^ESCTMY285530"	NA	"myocardial infarction"	"22298006"	"37436014"	32
"2855341000006114"	11	"^ESCTMI285534"	NA	"mi - myocardial infarction"	"22298006"	"1784872019"	32
"2855351000006111"	88	"^ESCTMY285535"	NA	"myocardial infarct"	"22298006"	"1784873012"	32
"2953391000006113"	2	"^ESCTLE295339"	NA	"left anterior descending coronary artery thrombosis"	"28248000"	"47279011"	31
"3024781000006112"	30	"^ESCTPA302478"	NA	"past myocardial infarction diagnosed on ecg and/or other special investigation, but currently presenting no symptoms"	"32574007"	"54388015"	32
"3343471000006116"	7	"^ESCTAC334347"	NA	"acute anteroapical myocardial infarction"	"52035003"	"86618010"	32
"3381601000006117"	958	"^ESCTAC338160"	NA	"acute myocardial infarction of anterior wall"	"54329005"	"90302019"	32
"3427201000006111"	3	"^ESCTAM342720"	NA	"ami - acute myocardial infarction"	"57054005"	"1231678011"	32
"3452181000006112"	132	"^ESCTAC345218"	NA	"acute myocardial infarction of lateral wall"	"58612006"	"97399018"	32
"3459561000006119"	36	"^ESCTAC345956"	NA	"acute myocardial infarction of apical-lateral wall"	"59063002"	"98155017"	32
"3551171000006114"	16	"^ESCTAC355117"	NA	"acute myocardial infarction of high lateral wall"	"64627002"	"107408016"	32
"3565871000006113"	193	"^ESCTAC356587"	NA	"acute myocardial infarction of inferolateral wall"	"65547006"	"108912018"	32
