"medcode"	"term"	"database"
"265096013"	"pregnancy dental advice"	"Aurum"
"265105016"	"postnatal support group"	"Aurum"
"273784010"	"therapeutic termination of pregnancy procedure"	"Aurum"
"273916010"	"excision of ectopic ovarian pregnancy"	"Aurum"
"273917018"	"excision of ruptured ectopic tubal pregnancy"	"Aurum"
"274221012"	"biopsy of placenta nec"	"Aurum"
"274241019"	"labour operations"	"Aurum"
"274248013"	"surgical induction of labour"	"Aurum"
"274253015"	"other specified surgical induction of labour"	"Aurum"
"274262018"	"induction of labour"	"Aurum"
"274264017"	"oxytocic induction of labour"	"Aurum"
"274272015"	"other specified other induction of labour"	"Aurum"
"274279012"	"other induction of labour nos"	"Aurum"
"274286016"	"other specified elective caesarean delivery"	"Aurum"
"274289011"	"elective caesarean delivery nos"	"Aurum"
"274293017"	"upper uterine segment caesarean delivery nec"	"Aurum"
"274297016"	"other specified other caesarean delivery"	"Aurum"
"274298014"	"other caesarean delivery nos"	"Aurum"
"274302018"	"breech extraction delivery with version"	"Aurum"
"274304017"	"other specified breech extraction delivery"	"Aurum"
"274305016"	"breech extraction delivery nos"	"Aurum"
"274306015"	"other breech delivery"	"Aurum"
"274307012"	"spontaneous breech delivery"	"Aurum"
"274308019"	"assisted breech delivery"	"Aurum"
"274309010"	"other specified other breech delivery"	"Aurum"
"274310017"	"other breech delivery nos"	"Aurum"
"274311018"	"forceps cephalic delivery"	"Aurum"
"274312013"	"high forceps cephalic delivery with rotation"	"Aurum"
"274313015"	"high forceps cephalic delivery nec"	"Aurum"
"274318012"	"barton forceps cephalic delivery with rotation"	"Aurum"
"274319016"	"dehee forceps cephalic delivery with rotation"	"Aurum"
"274321014"	"piper forceps delivery"	"Aurum"
"274322019"	"other specified forceps cephalic delivery"	"Aurum"
"274323012"	"forceps cephalic delivery nos"	"Aurum"
"274324018"	"high vacuum delivery"	"Aurum"
"274325017"	"low vacuum delivery"	"Aurum"
"274326016"	"vacuum delivery before full dilation of cervix"	"Aurum"
"274327013"	"trial of vacuum delivery"	"Aurum"
"274328015"	"other specified vacuum delivery"	"Aurum"
"274329011"	"vacuum delivery nos"	"Aurum"
"274336012"	"normal delivery"	"Aurum"
"274338013"	"water birth delivery"	"Aurum"
"274339017"	"other specified normal delivery"	"Aurum"
"274340015"	"normal delivery procedure"	"Aurum"
"274341016"	"delivery procedure"	"Aurum"
"274343018"	"trial of labour nec"	"Aurum"
"274344012"	"other specified other method of delivery"	"Aurum"
"274345013"	"other method of delivery nos"	"Aurum"
"274346014"	"operation to facilitate delivery"	"Aurum"
"274349019"	"other specified other operation to facilitate delivery"	"Aurum"
"274350019"	"other operation to facilitate delivery nos"	"Aurum"
"274351015"	"other specified induction or delivery operations"	"Aurum"
"274352010"	"induction and delivery operations nos"	"Aurum"
"274353017"	"other obstetric operations"	"Aurum"
"274358014"	"manual removal of placenta from delivered uterus"	"Aurum"
"274368016"	"normal delivery of placenta"	"Aurum"
"274379014"	"immediate repair of obstetric laceration"	"Aurum"
