"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"antihypertensive"
"4156341000033119"	"Sitaxentan 100mg tablets"	"Tablet"	"Oral"	"Sitaxentan"	"100.000mg"	NA	"Sitaxentan"
"4213641000033112"	"Aliskiren 150mg tablets"	"Tablet"	"Oral"	"Aliskiren"	"150.000mg"	"2050503"	"Aliskiren"
"4213741000033115"	"Aliskiren 300mg tablets"	"Tablet"	"Oral"	"Aliskiren"	"300.000mg"	"2050503"	"Aliskiren"
"4213841000033113"	"Rasilez 150mg tablets"	"Tablet"	"Oral"	"Aliskiren"	"150.000mg"	"2050503"	"Aliskiren"
"4213941000033117"	"Rasilez 300mg tablets"	"Tablet"	"Oral"	"Aliskiren"	"300.000mg"	"2050503"	"Aliskiren"
"4260341000033110"	"Verapamil 5mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Verapamil"	"2.500mg/1.000ml"	"2060200"	"Verapamil"
"4273241000033118"	"Olmesartan medoxomil 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Olmesartan"	"2.000mg/1.000ml"	NA	"Olmesartan"
"4288341000033111"	"Oxandosin XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"4424741000033110"	"Losartan 100mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Losartan"	"12.500mg + 100.000mg"	NA	"Hydrochlorothiazide/Losartan"
"4424841000033117"	"Cozaar-Comp 100mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Losartan"	"12.500mg + 100.000mg"	NA	"Hydrochlorothiazide/Losartan"
"4424941000033113"	"Valsartan 320mg tablets"	"Tablet"	"Oral"	"Valsartan"	"320.000mg"	NA	"Valsartan"
"4425041000033113"	"Diovan 320mg tablets"	"Tablet"	"Oral"	"Valsartan"	"320.000mg"	NA	"Valsartan"
"4429241000033115"	"Felotens XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	"2060200"	"Felodipine"
"4432941000033119"	"Doxazosin 1mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Doxazosin"	"200.000microgram/1.000ml"	NA	"Doxazosin"
"4451941000033110"	"Valni XL 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	"2060200"	"Nifedipine"
"4452041000033116"	"Valni XL 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	"2060200"	"Nifedipine"
"4453941000033114"	"Perindopril arginine 2.5mg tablets"	"Tablet"	"Oral"	"Perindopril"	"2.500mg"	"2050501"	"Perindopril"
"4454041000033111"	"Perindopril arginine 5mg tablets"	"Tablet"	"Oral"	"Perindopril"	"5.000mg"	"2050501"	"Perindopril"
"4454141000033110"	"Perindopril arginine 10mg tablets"	"Tablet"	"Oral"	"Perindopril"	"10.000mg"	"2050501"	"Perindopril"
"4454241000033115"	"Coversyl Arginine 2.5mg tablets"	"Tablet"	"Oral"	"Perindopril"	"2.500mg"	"2050501"	"Perindopril"
"4454341000033113"	"Coversyl Arginine 5mg tablets"	"Tablet"	"Oral"	"Perindopril"	"5.000mg"	"2050501"	"Perindopril"
"4454441000033119"	"Coversyl Arginine 10mg tablets"	"Tablet"	"Oral"	"Perindopril"	"10.000mg"	"2050501"	"Perindopril"
"4454541000033118"	"Perindopril arginine 5mg / Indapamide 1.25mg tablets"	"Tablet"	"Oral"	"Indapamide/Perindopril"	"1.250mg + 5.000mg"	"2050501"	"Indapamide/Perindopril"
"4454641000033117"	"Coversyl Arginine Plus 5mg/1.25mg tablets"	"Tablet"	"Oral"	"Indapamide/Perindopril"	"1.250mg + 5.000mg"	"2050501"	"Indapamide/Perindopril"
"4456241000033111"	"Hydralazine 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Hydralazine"	"2.000mg/1.000ml"	NA	"Hydralazine"
"4502341000033119"	"Doxazosin Oral suspension 1 mg/5 ml"	"Oral suspension"	"Oral"	"Doxazosin"	NA	NA	"Doxazosin"
"4508041000033119"	"Amlodipine 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	NA	"Amlodipine"
"4520941000033113"	"Ambrisentan 5mg tablets"	"Tablet"	"Oral"	"Ambrisentan"	"5.000mg"	"2050100"	"Ambrisentan"
"4521041000033115"	"Ambrisentan 10mg tablets"	"Tablet"	"Oral"	"Ambrisentan"	"10.000mg"	"2050100"	"Ambrisentan"
"4521141000033116"	"Volibris 5mg tablets"	"Tablet"	"Oral"	"Ambrisentan"	"5.000mg"	"2050100"	"Ambrisentan"
"4521241000033111"	"Volibris 10mg tablets"	"Tablet"	"Oral"	"Ambrisentan"	"10.000mg"	"2050100"	"Ambrisentan"
"4521541000033113"	"Neofel XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	NA	"Felodipine"
"4521641000033114"	"Neofel XL 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	"Felodipine"
"4521741000033117"	"Neofel XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	"Felodipine"
"4548741000033111"	"Telmisartan 80mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Telmisartan"	"25.000mg + 80.000mg"	NA	"Hydrochlorothiazide/Telmisartan"
"4548841000033118"	"MicardisPlus 80mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Telmisartan"	"25.000mg + 80.000mg"	NA	"Hydrochlorothiazide/Telmisartan"
"4571241000033110"	"Ethibide XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	"2020100"	"Indapamide"
"4575941000033115"	"Doxzogen XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"4590741000033116"	"Retalzem 60 modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem"	"60.000mg"	NA	"Diltiazem"
"4656741000033119"	"Tensaid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	"2020100"	"Indapamide"
"4805941000033114"	"Ramipril 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"500.000microgram/1.000ml"	NA	"Ramipril"
"4815641000033117"	"Metoprolol 12.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Metoprolol"	"2.500mg/1.000ml"	NA	"Metoprolol"
"4897741000033118"	"Amlodipine 1.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amlodipine"	"300.000microgram/1.000ml"	NA	"Amlodipine"
"4936841000033112"	"Cardozin XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"4953741000033114"	"Diltiazem 60mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diltiazem"	"12.000mg/1.000ml"	NA	"Diltiazem"
"4954341000033111"	"Irbesartan 300mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Irbesartan"	"60.000mg/1.000ml"	NA	"Irbesartan"
"4955841000033115"	"Propranolol 40mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol"	"8.000mg/1.000ml"	NA	"Propranolol"
"4955941000033111"	"Syprol 40mg/5ml oral solution"	"Oral solution"	"Oral"	"Propranolol"	"8.000mg/1.000ml"	NA	"Propranolol"
"4957141000033117"	"Propranolol 80mg/5ml oral solution"	"Oral solution"	"Oral"	"Propranolol"	"16.000mg/1.000ml"	NA	"Propranolol"
"4957541000033114"	"Losartan 12.5mg tablets"	"Tablet"	"Oral"	"Losartan"	"12.500mg"	NA	"Losartan"
"4957641000033110"	"Cozaar 12.5mg tablets"	"Tablet"	"Oral"	"Losartan"	"12.500mg"	NA	"Losartan"
"5005841000033114"	"Olmesartan medoxomil 20mg / Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"5.000mg + 20.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5005941000033118"	"Olmesartan medoxomil 40mg / Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"5.000mg + 40.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5006041000033111"	"Olmesartan medoxomil 40mg / Amlodipine 10mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"10.000mg + 40.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5006141000033110"	"Sevikar 20mg/5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"5.000mg + 20.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5006241000033115"	"Sevikar 40mg/5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"5.000mg + 40.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5006341000033113"	"Sevikar 40mg/10mg tablets"	"Tablet"	"Oral"	"Amlodipine/Olmesartan"	"10.000mg + 40.000mg"	"2050502"	"Amlodipine/Olmesartan"
"5008141000033111"	"Captopril 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"2.000mg/1.000ml"	NA	"Captopril"
"5053141000033113"	"Indipam XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	NA	"Indapamide"
"5056241000033112"	"Nifedipine 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nifedipine"	"1.000mg/1.000ml"	NA	"Nifedipine"
"5093641000033110"	"Chlorothiazide 250mg tablets"	"Tablet"	"Oral"	"Chlorothiazide"	"250.000mg"	NA	"Chlorothiazide"
"5128741000033110"	"Mapemid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	NA	"Indapamide"
"5132041000033112"	"Captopril 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"5.000mg/1.000ml"	NA	"Captopril"
"5138341000033111"	"Doxazosin 4mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Doxazosin"	"800.000microgram/1.000ml"	NA	"Doxazosin"
"5149941000033118"	"Losartan 2.5mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Losartan"	"2.500mg/1.000ml"	"2050502"	"Losartan"
"5150041000033110"	"Cozaar 2.5mg/ml oral suspension"	"Oral suspension"	"Oral"	"Losartan"	"2.500mg/1.000ml"	"2050502"	"Losartan"
"5289041000033110"	"Clonidine 200micrograms/24hours transdermal patches"	"Transdermal patch"	"Transdermal"	"Clonidine"	"200.000microgram/24.000hour"	NA	"Clonidine"
"5376441000033114"	"Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Amiloride/Timolol"	"2.500mg + 25.000mg + 10.000mg"	NA	"Hydrochlorothiazide/Amiloride/Timolol"
"5378241000033112"	"Nadolol 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nadolol"	"8.000mg/1.000ml"	NA	"Nadolol"
"5393041000033115"	"Chlorothiazide And Spironolactone Capsules 250 mg + 25 mg"	"Capsule"	"Oral"	"Chlorothiazide/Spironolactone"	NA	NA	"Chlorothiazide/Spironolactone"
"5401641000033118"	"Captopril 15mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"3.000mg/1.000ml"	NA	"Captopril"
"5401741000033110"	"Bendroflumethiazide 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bendroflumethiazide"	"1.000mg/1.000ml"	NA	"Bendroflumethiazide"
"5402541000033112"	"Nifedipine 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nifedipine"	"500.000microgram/1.000ml"	NA	"Nifedipine"
"5403641000033117"	"Colixil XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"5453941000033119"	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bendroflumethiazide"	"250.000microgram/1.000ml"	NA	"Bendroflumethiazide"
"5454041000033117"	"Captopril 4mg capsules"	"Capsule"	"Oral"	"Captopril"	"4.000mg"	NA	"Captopril"
"5490241000033113"	"Amlodipine 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	NA	"Amlodipine"
"5566041000033114"	"Rawel XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	NA	"Indapamide"
"5566341000033111"	"Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"12.500mg + 40.000mg"	NA	"Hydrochlorothiazide/Olmesartan"
"5566441000033117"	"Olmetec Plus 40mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Olmesartan"	"12.500mg + 40.000mg"	NA	"Hydrochlorothiazide/Olmesartan"
"5568741000033113"	"Lisinopril 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"8.000mg/1.000ml"	NA	"Lisinopril"
"5575541000033119"	"Metoprolol 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Metoprolol"	"5.000mg/1.000ml"	NA	"Metoprolol"
"5576341000033118"	"Folpik XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	NA	"Felodipine"
"5576441000033112"	"Folpik XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	NA	"Felodipine"
"5576541000033113"	"Folpik XL 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	NA	"Felodipine"
"5595341000033117"	"Captopril Oral Suspension Sugar Free 2 mg/ml"	"Oral suspension"	"Oral"	"Captopril"	NA	NA	"Captopril"
"5710441000033117"	"Co-amilofruse 5mg/40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amiloride"	"1.000mg/1.000ml + 8.000mg/1.000ml"	NA	"Amiloride"
"5809641000033111"	"Larbex XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"5814141000033119"	"Nadolol 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Nadolol"	"4.000mg/1.000ml"	NA	"Nadolol"
"5816741000033112"	"Varbim XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	NA	"Indapamide"
"5816841000033119"	"Bi-Carzem XL 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"240.000mg"	NA	"Diltiazem"
"5816941000033110"	"Bi-Carzem XL 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"300.000mg"	NA	"Diltiazem"
"5817441000033119"	"Neozipine XL 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"Nifedipine"
"5817541000033118"	"Neozipine XL 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"Nifedipine"
"5887841000033118"	"Ramipril 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"2.000mg/1.000ml"	NA	"Ramipril"
"5887941000033114"	"Ramipril 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"2.000mg/1.000ml"	NA	"Ramipril"
"5888241000033116"	"Perindopril Oral suspension 4 mg/5 ml"	"Oral suspension"	"Oral"	"Perindopril"	NA	NA	"Perindopril"
"5888741000033110"	"Amlodipine 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	NA	"Amlodipine"
"5890141000033112"	"Spironolactone 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"5.000mg/1.000ml"	NA	"Spironolactone"
"5890241000033117"	"Lisinopril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"1.000mg/1.000ml"	NA	"Lisinopril"
"5890341000033110"	"Ramipril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"1.000mg/1.000ml"	NA	"Ramipril"
"5890441000033116"	"Spironolactone 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"10.000mg/1.000ml"	NA	"Spironolactone"
"5890541000033115"	"Ramipril 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"500.000microgram/1.000ml"	NA	"Ramipril"
"5891941000033115"	"Adanif XL 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"Nifedipine"
"5892041000033114"	"Adanif XL 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"Nifedipine"
"5898741000033114"	"Captopril 12.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"2.500mg/1.000ml"	NA	"Captopril"
"5898841000033116"	"Captopril 12.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"2.500mg/1.000ml"	NA	"Captopril"
"5898941000033112"	"Captopril 6.25mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"1.250mg/1.000ml"	NA	"Captopril"
"5899041000033115"	"Captopril 6.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"1.250mg/1.000ml"	NA	"Captopril"
"5899341000033118"	"Chlorothiazide 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorothiazide"	"30.000mg/1.000ml"	NA	"Chlorothiazide"
"5899441000033112"	"Chlorothiazide 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorothiazide"	"5.000mg/1.000ml"	NA	"Chlorothiazide"
"5900141000033118"	"Clonidine 50micrograms/5ml oral solution"	"Oral solution"	"Oral"	"Clonidine"	"10.000microgram/1.000ml"	NA	"Clonidine"
"5900241000033113"	"Clonidine 50micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Clonidine"	"10.000microgram/1.000ml"	NA	"Clonidine"
"5966841000033114"	"Diazoxide 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diazoxide"	"2.000mg/1.000ml"	NA	"Diazoxide"
"5966941000033118"	"Diazoxide 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Diazoxide"	"2.000mg/1.000ml"	NA	"Diazoxide"
"5967041000033117"	"Enalapril 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Enalapril"	"2.000mg/1.000ml"	NA	"Enalapril"
"5967141000033118"	"Enalapril 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Enalapril"	"2.000mg/1.000ml"	NA	"Enalapril"
"5969841000033119"	"Hydrochlorothiazide 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Hydrochlorothiazide"	"1.000mg/1.000ml"	NA	"Hydrochlorothiazide"
"5969941000033110"	"Hydrochlorothiazide 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Hydrochlorothiazide"	"1.000mg/1.000ml"	NA	"Hydrochlorothiazide"
"5970641000033117"	"Irbesartan 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Irbesartan"	"30.000mg/1.000ml"	NA	"Irbesartan"
"5971341000033117"	"Lisinopril 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"500.000microgram/1.000ml"	NA	"Lisinopril"
"5971441000033111"	"Lisinopril 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"500.000microgram/1.000ml"	NA	"Lisinopril"
"5971541000033112"	"Lisinopril 7.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"1.500mg/1.000ml"	NA	"Lisinopril"
"5971641000033113"	"Lisinopril 7.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"1.500mg/1.000ml"	NA	"Lisinopril"
"5971741000033116"	"Losartan 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Losartan"	"20.000mg/1.000ml"	NA	"Losartan"
"5971841000033114"	"Losartan 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Losartan"	"20.000mg/1.000ml"	NA	"Losartan"
"5971941000033118"	"Losartan 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Losartan"	"10.000mg/1.000ml"	NA	"Losartan"
"5972041000033112"	"Losartan 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Losartan"	"10.000mg/1.000ml"	NA	"Losartan"
"5972841000033117"	"Metoprolol 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Metoprolol"	"10.000mg/1.000ml"	NA	"Metoprolol"
"5972941000033113"	"Metoprolol 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Metoprolol"	"10.000mg/1.000ml"	NA	"Metoprolol"
"5973741000033117"	"Nifedipine 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nifedipine"	"2.000mg/1.000ml"	NA	"Nifedipine"
"5975441000033113"	"Spironolactone 15mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"3.000mg/1.000ml"	NA	"Spironolactone"
"5975541000033114"	"Spironolactone 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"50.000mg/1.000ml"	NA	"Spironolactone"
"5975641000033110"	"Spironolactone 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"50.000mg/1.000ml"	NA	"Spironolactone"
"5991141000033110"	"Chlorothiazide 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorothiazide"	"50.000mg/1.000ml"	NA	"Chlorothiazide"
"5991841000033116"	"Diltiazem 2% ointment"	"Ointment"	"Transdermal"	"Diltiazem"	"20.000mg/1.000gram"	NA	"Diltiazem"
"5991941000033112"	"Diltiazem 60mg/5ml oral solution"	"Oral solution"	"Oral"	"Diltiazem"	"12.000mg/1.000ml"	NA	"Diltiazem"
"5992541000033111"	"Enalapril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Enalapril"	"1.000mg/1.000ml"	NA	"Enalapril"
"5992641000033112"	"Enalapril 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Enalapril"	"1.000mg/1.000ml"	NA	"Enalapril"
"5997541000033113"	"Perindopril Oral solution 8 mg/5 ml"	"Oral solution"	"Oral"	"Perindopril"	NA	NA	"Perindopril"
"5998141000033117"	"Propranolol 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Propranolol"	"8.000mg/1.000ml"	NA	"Propranolol"
"5998241000033112"	"Ramipril 1.25mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"250.000microgram/1.000ml"	NA	"Ramipril"
"5999141000033111"	"Spironolactone 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"20.000mg/1.000ml"	NA	"Spironolactone"
"5999241000033116"	"Spironolactone 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"2.000mg/1.000ml"	NA	"Spironolactone"
"5999341000033114"	"Spironolactone 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Spironolactone"	"1.000mg/1.000ml"	NA	"Spironolactone"
"6001041000033115"	"Captopril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"1.000mg/1.000ml"	NA	"Captopril"
"6012441000033118"	"Enalapril 1.25mg/5ml oral solution"	"Oral solution"	"Oral"	"Enalapril"	"250.000microgram/1.000ml"	NA	"Enalapril"
"6012541000033117"	"Enalapril 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Enalapril"	"250.000microgram/1.000ml"	NA	"Enalapril"
"6036141000033119"	"Raporsin XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"6044541000033115"	"Lisinopril 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"4.000mg/1.000ml"	NA	"Lisinopril"
"6044641000033119"	"Lisinopril 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"4.000mg/1.000ml"	NA	"Lisinopril"
"6045641000033115"	"Neo-Naclex 2.5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg"	NA	"Bendroflumethiazide"
"6180641000033112"	"Sevikar HCT 20mg/5mg/12.5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"5.000mg + 12.500mg + 20.000mg"	"2050502"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"6180741000033115"	"Sevikar HCT 40mg/5mg/12.5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"5.000mg + 12.500mg + 40.000mg"	"2050502"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"6180841000033113"	"Sevikar HCT 40mg/10mg/12.5mg tablets"	"Tablet"	"Oral"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"10.000mg + 12.500mg + 40.000mg"	"2050502"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"6180941000033117"	"Sevikar HCT 40mg/5mg/25mg tablets"	"Tablet"	"Oral"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"5.000mg + 25.000mg + 40.000mg"	"2050502"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"6181041000033110"	"Sevikar HCT 40mg/10mg/25mg tablets"	"Tablet"	"Oral"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"10.000mg + 25.000mg + 40.000mg"	"2050502"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"6435741000033117"	"Irbesartan 37.5mg oral powder sachets"	"Powder"	"Oral"	"Irbesartan"	"37.500mg"	NA	"Irbesartan"
"6448241000033118"	"Regaine for Men Extra Strength 5% scalp foam"	"Foam"	"Cutaneous"	"Minoxidil"	"50.000mg/1.000gram"	"13090000"	"Minoxidil"
"6448341000033111"	"Minoxidil 5% foam"	"Foam"	"Cutaneous"	"Minoxidil"	"50.000mg/1.000gram"	"13090000"	"Minoxidil"
"6468341000033117"	"Diazoxide 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Diazoxide"	"20.000mg/1.000ml"	NA	"Diazoxide"
"6468441000033111"	"Diazoxide 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Diazoxide"	"20.000mg/1.000ml"	NA	"Diazoxide"
"6470041000033112"	"Tiopex 1mg/g eye gel 0.4g unit dose"	"Eye drops"	"Ocular"	"Timolol"	"1.000mg/1.000gram"	"11060000"	"Timolol"
"6515441000033113"	"Valsartan 80mg tablets"	"Tablet"	"Oral"	"Valsartan"	"80.000mg"	NA	"Valsartan"
"6515541000033114"	"Valsartan 160mg tablets"	"Tablet"	"Oral"	"Valsartan"	"160.000mg"	NA	"Valsartan"
"6517041000033110"	"Ramipril 2.5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Ramipril"	"500.000microgram/1.000ml"	NA	"Ramipril"
"6528441000033113"	"Valsartan 3mg/ml oral solution"	"Oral solution"	"Oral"	"Valsartan"	"3.000mg/1.000ml"	NA	"Valsartan"
"6528541000033114"	"Diovan 3mg/1ml oral solution"	"Oral solution"	"Oral"	"Valsartan"	"3.000mg/1.000ml"	NA	"Valsartan"
"7681541000033117"	"Spironolactone 4mg / Chlorothiazide 40mg capsules"	"Capsule"	"Oral"	"Chlorothiazide/Spironolactone"	"40.000mg + 4.000mg"	NA	"Chlorothiazide/Spironolactone"
"7740641000033112"	"Amlodipine 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Amlodipine"	"2.000mg/1.000ml"	NA	"Amlodipine"
"7754841000033119"	"Azilsartan medoxomil 20mg tablets"	"Tablet"	"Oral"	"Azilsartan"	"20.000mg"	"2050502"	"Azilsartan"
