"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"antihypertensive"
"2989841000033118"	"Ramipril 10mg tablets"	"Tablet"	"Oral"	"Ramipril"	"10.000mg"	"2050501"	"Ramipril"
"2989941000033114"	"Tritace 1.25mg tablets"	"Tablet"	"Oral"	"Ramipril"	"1.250mg"	"2050501"	"Ramipril"
"2990041000033116"	"Tritace 2.5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	"Ramipril"
"2990141000033117"	"Tritace 5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	"Ramipril"
"2990241000033112"	"Tritace 10mg tablets"	"Tablet"	"Oral"	"Ramipril"	"10.000mg"	"2050501"	"Ramipril"
"3012741000033115"	"Captopril 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"5.000mg/1.000ml"	NA	"Captopril"
"3014741000033111"	"Trandolapril 4mg capsules"	"Capsule"	"Oral"	"Trandolapril"	"4.000mg"	"2050501"	"Trandolapril"
"3014841000033118"	"Gopten 4mg capsules"	"Capsule"	"Oral"	"Trandolapril"	"4.000mg"	NA	"Trandolapril"
"3030041000033113"	"Iloprost 20micrograms/2ml nebuliser liquid ampoules"	"Nebuliser liquid"	"Inhalation"	"Iloprost"	"10.000microgram/1.000ml"	NA	"Iloprost"
"3034341000033117"	"Vascalpha 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	"Felodipine"
"3034441000033111"	"Vascalpha 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	"Felodipine"
"3038041000033111"	"Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"5.000mg"	"2060200"	"Amlodipine"
"3038141000033110"	"Amlodipine 10mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"10.000mg"	"2060200"	"Amlodipine"
"3083141000033112"	"Bendroflumethiazide 2.5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg"	"2020100"	"Bendroflumethiazide"
"3083241000033117"	"Bendroflumethiazide 5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"5.000mg"	"2020100"	"Bendroflumethiazide"
"3086241000033111"	"Chlortalidone 50mg tablets"	"Tablet"	"Oral"	"Chlortalidone"	"50.000mg"	"2020100"	"Chlortalidone"
"3092741000033119"	"Triamterene 50mg / Furosemide 40mg tablets"	"Tablet"	"Oral"	"Triamterene"	"40.000mg + 50.000mg"	"2020400"	"Triamterene"
"3108541000033116"	"Phentolamine 10mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Phentolamine"	"10.000mg/1.000ml"	"2050400"	"Phentolamine"
"3136041000033117"	"Caralpha 10mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 10.000mg"	NA	"Hydrochlorothiazide/Lisinopril"
"3136141000033118"	"Caralpha 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 20.000mg"	NA	"Hydrochlorothiazide/Lisinopril"
"3151841000033117"	"Bendroflumethiazide 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bendroflumethiazide"	"500.000microgram/1.000ml"	NA	"Bendroflumethiazide"
"3152141000033115"	"Lisinopril 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"1.000mg/1.000ml"	NA	"Lisinopril"
"3152541000033112"	"Co-Diovan 160mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"12.500mg + 160.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3152641000033113"	"Co-Diovan 160mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"25.000mg + 160.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3154841000033119"	"Cardioplen XL 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	"Felodipine"
"3154941000033110"	"Cardioplen XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	"Felodipine"
"3159741000033111"	"Lopace 2.5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	"Ramipril"
"3159841000033118"	"Lopace 5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	"Ramipril"
"3159941000033114"	"Lopace 10mg capsules"	"Capsule"	"Oral"	"Ramipril"	"10.000mg"	"2050501"	"Ramipril"
"3160641000033118"	"Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Quinapril"	"12.500mg + 10.000mg"	"2050501"	"Hydrochlorothiazide/Quinapril"
"3160841000033117"	"Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 10.000mg"	"2050501"	"Hydrochlorothiazide/Lisinopril"
"3160941000033113"	"Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Lisinopril"	"12.500mg + 20.000mg"	"2050501"	"Hydrochlorothiazide/Lisinopril"
"3161041000033115"	"Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets"	"Modified-release tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg + 573.000mg"	NA	"Bendroflumethiazide"
"3161141000033116"	"Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Irbesartan"	"12.500mg + 150.000mg"	"2050502"	"Hydrochlorothiazide/Irbesartan"
"3161241000033111"	"Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Irbesartan"	"12.500mg + 300.000mg"	"2050502"	"Hydrochlorothiazide/Irbesartan"
"3161341000033118"	"Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Metoprolol"	"12.500mg + 100.000mg"	NA	"Hydrochlorothiazide/Metoprolol"
"3161441000033112"	"Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"12.500mg + 160.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3161541000033113"	"Valsartan 160mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"25.000mg + 160.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3161641000033114"	"Perindopril erbumine 4mg / Indapamide 1.25mg tablets"	"Tablet"	"Oral"	"Indapamide/Perindopril"	"1.250mg + 4.000mg"	"2050501"	"Indapamide/Perindopril"
"3161741000033117"	"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Losartan"	"12.500mg + 50.000mg"	"2050502"	"Hydrochlorothiazide/Losartan"
"3161941000033119"	"Triamterene 50mg / Benzthiazide 25mg capsules"	"Capsule"	"Oral"	"Triamterene"	"25.000mg + 50.000mg"	NA	"Triamterene"
"3162241000033117"	"Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Enalapril/Hydrochlorothiazide"	"20.000mg + 12.500mg"	"2050501"	"Enalapril/Hydrochlorothiazide"
"3162341000033110"	"Triamterene 50mg / Chlortalidone 50mg tablets"	"Tablet"	"Oral"	"Chlortalidone/Triamterene"	"50.000mg + 50.000mg"	"2020400"	"Chlortalidone/Triamterene"
"3162541000033115"	"Spironolactone 50mg / Furosemide 20mg capsules"	"Capsule"	"Oral"	"Spironolactone"	"20.000mg + 50.000mg"	"2020400"	"Spironolactone"
"3162641000033119"	"Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Telmisartan"	"12.500mg + 40.000mg"	"2050502"	"Hydrochlorothiazide/Telmisartan"
"3162741000033111"	"Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Telmisartan"	"12.500mg + 80.000mg"	"2050502"	"Hydrochlorothiazide/Telmisartan"
"3162841000033118"	"Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets"	"Modified-release tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg + 630.000mg"	NA	"Bendroflumethiazide"
"3162941000033114"	"Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Acebutolol"	"200.000mg + 12.500mg"	NA	"Hydrochlorothiazide/Acebutolol"
"3163041000033116"	"Verapamil 180mg modified-release / Trandolapril 2mg capsules"	"Modified-release capsule"	"Oral"	"Trandolapril/Verapamil"	"2.000mg + 180.000mg"	NA	"Trandolapril/Verapamil"
"3163141000033117"	"Pindolol 10mg / Clopamide 5mg tablets"	"Tablet"	"Oral"	"Pindolol"	"5.000mg + 10.000mg"	"2040000"	"Pindolol"
"3163241000033112"	"Felodipine 5mg modified-release / Ramipril 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine/Ramipril"	"5.000mg + 5.000mg"	"2050501"	"Felodipine/Ramipril"
"3163341000033119"	"Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine/Ramipril"	"2.500mg + 2.500mg"	"2050501"	"Felodipine/Ramipril"
"3177441000033110"	"Felogen XL 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	"Felodipine"
"3177541000033111"	"Felogen XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	"Felodipine"
"3188741000033111"	"Amlostin 5mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"5.000mg"	"2060200"	"Amlodipine"
"3188841000033118"	"Amlostin 10mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"10.000mg"	"2060200"	"Amlodipine"
"3190741000033112"	"Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"12.500mg + 80.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3190841000033119"	"Co-Diovan 80mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Valsartan"	"12.500mg + 80.000mg"	"2050502"	"Hydrochlorothiazide/Valsartan"
"3198841000033117"	"Eplerenone 25mg tablets"	"Tablet"	"Oral"	"Eplerenone"	"25.000mg"	"2020300"	"Eplerenone"
"3198941000033113"	"Eplerenone 50mg tablets"	"Tablet"	"Oral"	"Eplerenone"	"50.000mg"	"2020300"	"Eplerenone"
"3199041000033116"	"Inspra 25mg tablets"	"Tablet"	"Oral"	"Eplerenone"	"25.000mg"	"2020300"	"Eplerenone"
"3199141000033117"	"Inspra 50mg tablets"	"Tablet"	"Oral"	"Eplerenone"	"50.000mg"	"2020300"	"Eplerenone"
"3201341000033115"	"Valsartan 40mg tablets"	"Tablet"	"Oral"	"Valsartan"	"40.000mg"	"2050502"	"Valsartan"
"3201441000033114"	"Diovan 40mg tablets"	"Tablet"	"Oral"	"Valsartan"	"40.000mg"	"2050502"	"Valsartan"
