"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"2"	"Bendroflumethiazide 2.5mg tablets"	"Bendroflumethiazide"	"2.5mg"	"Tablet"	"Oral"	"02020100/09050102"	"Bendroflumethiazide"
"5"	"Atenolol 50mg tablets"	"Atenolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"24"	"Atenolol 100mg tablets"	"Atenolol"	"100mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"26"	"Atenolol 25mg tablets"	"Atenolol"	"25mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"29"	"Amlodipine besilate 5mg tablets"	"Amlodipine"	"5mg"	"Tablets"	"Oral"	"02060200"	"Amlodipine"
"56"	"Co-amilofruse 5mg/40mg tablets"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"58"	"Bendroflumethiazide 5mg tablets"	"Bendroflumethiazide"	"5mg"	"Tablet"	"Oral"	"02020100"	"Bendroflumethiazide"
"65"	"Lisinopril 10mg tablets"	"Lisinopril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"69"	"Lisinopril 20mg tablets"	"Lisinopril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"71"	"Amlodipine besilate 10mg tablets"	"Amlodipine"	"10mg"	"Tablets"	"Oral"	"02060200"	"Amlodipine"
"78"	"Lisinopril 5mg tablets"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"80"	"Ramipril 5mg capsules"	"Ramipril"	"5mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"82"	"Ramipril 10mg capsules"	"Ramipril"	"10mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"97"	"Perindopril erbumine 4mg tablets"	"Perindopril"	"4mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"119"	"Doxazosin 1mg tablets"	"Doxazosin"	"1mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"147"	"Ramipril 1.25mg capsules"	"Ramipril"	"1.25mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"193"	"Co-amilofruse 2.5mg/20mg tablets"	"Amiloride"	"2.5mg + 20mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"196"	"Enalapril 5mg tablets"	"Enalapril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Enalapril"
"197"	"Atenolol 5mg/10ml solution for injection ampoules"	"Atenolol"	"500microgram/1ml"	"Solution for injection"	"Intravenous"	"02040000"	"Atenolol"
"211"	"Frumil 40mg+5mg Tablet (Helios Healthcare Ltd)"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020200/02020400"	"Amiloride"
"214"	"HYDRALAZINE 1 MG SYR"	"Hydralazine"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Hydralazine"
"217"	"CAPTOPRIL 4 MG/ML LIQ"	"Captopril"	NA	NA	NA	"00000000"	"Captopril"
"219"	"Diltiazem 120mg modified-release tablets"	"Diltiazem"	"120mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"220"	"Propranolol 5mg/5ml oral solution"	"Propranolol"	"5mg/5ml"	"Oral Solution"	"Oral"	"02030202/02040000"	"Propranolol"
"269"	"Nifedipine 5mg capsules"	"Nifedipine"	"5mg"	"Capsule"	"Oral"	"02060200"	"Nifedipine"
"277"	"Lisinopril 2.5mg tablets"	"Lisinopril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"297"	"Propranolol 10mg tablets"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"338"	"Clonidine 25microgram tablets"	"Clonidine"	"25microgram"	"Tablet"	"Oral"	"04070402/06040101"	"Clonidine"
"348"	"Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Hydrochlorothiazide/Amiloride"	"5mg + 50mg"	"Tablet"	"Oral"	"02020100/02020400"	"Hydrochlorothiazide/Amiloride"
"410"	"Nifedipine 10mg modified-release tablets"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"445"	"Prazosin 1mg tablets and Prazosin 500microgram tablets"	"Prazosin"	NA	"Not applicable"	"Route of administration not applicable"	"00000000"	"Prazosin"
"448"	"Enalapril 2.5mg tablets"	"Enalapril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Enalapril"
"452"	"Nifedipine 10mg capsules"	"Nifedipine"	"10mg"	"Capsule"	"Oral"	"02060200"	"Nifedipine"
"491"	"Felodipine 2.5mg modified-release tablets"	"Felodipine"	"2.5mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"493"	"Doxazosin 2mg tablets"	"Doxazosin"	"2mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"501"	"Felodipine 5mg modified-release tablets"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"504"	"Hydralazine 20mg powder for solution for injection ampoules"	"Hydralazine"	"20mg"	"Powder for solution for injection"	"Intravenous"	"02050100"	"Hydralazine"
"517"	"Adizem sr 120mg Modified-release capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"120mg"	"Modified-release Capsule"	"Oral"	"02060200"	"Diltiazem"
"520"	"Losartan 25mg tablets"	"Losartan"	"25mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"529"	"Candesartan 2mg tablets"	"Candesartan"	"2mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"531"	"Candesartan 4mg tablets"	"Candesartan"	"4mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"536"	"Tildiem la 200mg Modified-release capsule (Sanofi)"	"Diltiazem"	"200mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"541"	"Adalat LA 20mg tablets (Bayer Plc)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"542"	"Hydrochlorothiazide 25mg tablets"	"Hydrochlorothiazide"	"25mg"	"Tablet"	"Oral"	"02020100"	"Hydrochlorothiazide"
"568"	"Felodipine 10mg modified-release tablets"	"Felodipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"573"	"Hydralazine 25mg tablets"	"Hydralazine"	"25mg"	"Tablet"	"Oral"	"02050100"	"Hydralazine"
"575"	"Valsartan 40mg capsules"	"Valsartan"	"40mg"	"Capsule"	"Oral"	"02050502"	"Valsartan"
"581"	"Atenolol 50mg with Chlortalidone 12.5mg tablets"	"Chlortalidone/Atenolol"	"50mg+12.5mg"	"Tablets"	"Oral"	"02020100/02040000"	"Chlortalidone/Atenolol"
"582"	"Doxazosin 4mg modified-release tablets"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"591"	"Prazosin 1mg tablets"	"Prazosin"	"1mg"	"Tablet"	"Oral"	"02050400/07040150"	"Prazosin"
"593"	"Perindopril erbumine 2mg tablets"	"Perindopril"	"2mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"605"	"Chlortalidone 50mg tablets"	"Chlortalidone"	"50mg"	"Tablet"	"Oral"	"02020100"	"Chlortalidone"
"624"	"Losartan 100mg tablets"	"Losartan"	"100mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"633"	"Fosinopril 10mg tablets"	"Fosinopril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Fosinopril"
"636"	"Diltiazem 60mg modified-release capsules"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"654"	"Ramipril 2.5/5mg/10mg capsule"	"Ramipril"	"2.5mg + 5mg + 10mg"	"Capsules"	"Oral"	"02050501"	"Ramipril"
"662"	"Adalat 5mg capsules (Bayer Plc)"	"Nifedipine"	"5mg"	"Capsule"	"Oral"	"02060200"	"Nifedipine"
"692"	"Spironolactone 25mg tablets"	"Spironolactone"	"25mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"700"	"Vera-Til SR 120mg tablets (Tillomed Laboratories Ltd)"	"Verapamil"	"120mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"707"	"Propranolol 40mg tablets"	"Propranolol"	"40mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"708"	"Spironolactone 50mg tablets"	"Spironolactone"	"50mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"709"	"Ramipril 2.5mg capsules"	"Ramipril"	"2.5mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"726"	"Prazosin 2mg tablets"	"Prazosin"	"2mg"	"Tablet"	"Oral"	"02050400/07040150"	"Prazosin"
"729"	"Amlodipine maleate 5mg tablets"	"Amlodipine"	"5mg"	"Tablets"	"Oral"	"02060200"	"Amlodipine"
"737"	"Nifedipine 20mg modified-release capsules"	"Nifedipine"	"20mg"	"Modified-release capsule"	"Oral"	"02060200"	"Nifedipine"
"739"	"Metoprolol 50mg tablets"	"Metoprolol"	"50mg"	"Tablet"	"Oral"	"02040000/04070402"	"Metoprolol"
"749"	"Amlodipine 5mg tablets"	"Amlodipine"	"5mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"753"	"Metoprolol 100mg tablets"	"Metoprolol"	"100mg"	"Tablet"	"Oral"	"02040000/04070402"	"Metoprolol"
"755"	"Cardura XL 4mg tablets (Pfizer Ltd)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"756"	"Ramipril 10mg tablets"	"Ramipril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Ramipril"
"761"	"Ramipril 1.25mg tablets"	"Ramipril"	"1.25mg"	"Tablet"	"Oral"	"02050501"	"Ramipril"
"764"	"Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Hydrochlorothiazide/Valsartan"	"80mg + 12.5mg"	"Tablet"	"Oral"	"02050504"	"Hydrochlorothiazide/Valsartan"
"769"	"Propranolol 80mg modified-release capsules"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"787"	"Spironolactone 100mg capsule"	"Spironolactone"	"100mg"	"Capsules"	"Oral"	"02020300"	"Spironolactone"
"793"	"Adizem xl 240mg Capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"828"	"Irbesartan 75mg tablets"	"Irbesartan"	"75mg"	"Tablet"	"Oral"	"02050502"	"Irbesartan"
"923"	"Co-amilozide 5mg/50mg tablets"	"Hydrochlorothiazide/Amiloride"	"5mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Amiloride"
"924"	"Co-amilozide 2.5mg/25mg tablets"	"Hydrochlorothiazide/Amiloride"	"25mg + 2.5mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Amiloride"
"939"	"Tildiem Retard 90mg tablets (Sanofi)"	"Diltiazem"	"90mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"940"	"Propranolol 80mg tablets"	"Propranolol"	"80mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"1006"	"Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"1021"	"Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd)"	"Enalapril/Hydrochlorothiazide"	"20mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02050501"	"Enalapril/Hydrochlorothiazide"
"1048"	"Inderal 80mg tablets (AstraZeneca UK Ltd)"	"Propranolol"	"80mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"1050"	"Inderal 40mg tablets (AstraZeneca UK Ltd)"	"Propranolol"	"40mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"1060"	"Amiloride 5mg tablets"	"Amiloride"	"5mg"	"Tablet"	"Oral"	"02020300"	"Amiloride"
"1118"	"Verapamil 40mg tablets"	"Verapamil"	"40mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"1120"	"Verapamil 80mg tablets"	"Verapamil"	"80mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"1121"	"Captopril 12.5mg tablets"	"Captopril"	"12.5mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"1124"	"Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd)"	"Chlortalidone/Atenolol"	"100mg + 25mg"	"Tablet"	"Oral"	"02020100/02040000"	"Chlortalidone/Atenolol"
"1125"	"Navidrex -k Tablet (Novartis Pharmaceuticals UK Ltd)"	"Cyclopenthiazide"	NA	"Tablet"	"Oral"	"02020100"	"Cyclopenthiazide"
"1130"	"Viazem XL 300mg capsules (Thornton & Ross Ltd)"	"Diltiazem"	"300mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"1143"	"Captopril 25mg tablets"	"Captopril"	"25mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"1144"	"Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Captopril"	"25mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"1170"	"Cyclopenthiazide 500microgram tablets"	"Cyclopenthiazide"	"500microgram"	"Tablet"	"Oral"	"02020100"	"Cyclopenthiazide"
"1209"	"Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd)"	"Bendroflumethiazide"	"5mg"	"Tablet"	"Oral"	"02020100"	"Bendroflumethiazide"
"1211"	"Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets"	"Bendroflumethiazide"	"630mg + 2.5mg"	"Modified-release tablet"	"Oral"	"02020100"	"Bendroflumethiazide"
"1213"	"Neo-Naclex-K modified-release tablets (Mercury Pharma Group Ltd)"	"Bendroflumethiazide"	"630mg + 2.5mg"	"Modified-release tablet"	"Oral"	"02020100"	"Bendroflumethiazide"
"1251"	"Moduret 25 tablets (Merck Sharp & Dohme Ltd)"	"Hydrochlorothiazide/Amiloride"	"25mg + 2.5mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Amiloride"
"1262"	"Nifedipine 12 20mg Modified-release tablet"	"Nifedipine"	"20mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"1288"	"Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd)"	"Chlortalidone/Atenolol"	"50mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02040000"	"Chlortalidone/Atenolol"
"1289"	"Tildiem Retard 120mg tablets (Sanofi)"	"Diltiazem"	"120mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"1292"	"Hypovase 1mg tablets (Pfizer Ltd)"	"Prazosin"	"1mg"	"Tablet"	"Oral"	"02050400/07040150"	"Prazosin"
"1293"	"Irbesartan 150mg tablets"	"Irbesartan"	"150mg"	"Tablet"	"Oral"	"02050502"	"Irbesartan"
"1294"	"Doxazosin 4mg tablets"	"Doxazosin"	"4mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"1296"	"Hydralazine 50mg tablets"	"Hydralazine"	"50mg"	"Tablet"	"Oral"	"02050100"	"Hydralazine"
"1297"	"Aldactide 50 tablets (Pfizer Ltd)"	"Spironolactone"	"50mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Spironolactone"
"1298"	"Verapamil 240mg modified-release tablets"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"02060200"	"Verapamil"
"1299"	"Enalapril 10mg tablets"	"Enalapril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Enalapril"
"1300"	"Nifensar xl 20mg Modified-release tablet (Rhone-Poulenc Rorer Ltd)"	"Nifedipine"	"20mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"1301"	"Frumil ls 20mg+2.5mg Tablet (Helios Healthcare Ltd)"	"Amiloride"	"2.5mg + 20mg"	"Tablet"	"Oral"	"02020200/02020400"	"Amiloride"
"1369"	"Furosemide with amiloride 40mg+5mg Tablet"	"Amiloride"	"40mg+5mg"	"Tablet"	"Oral"	"02020200/02020400"	"Amiloride"
"1448"	"Propranolol 160mg modified-release capsules"	"Propranolol"	"160mg"	"Modified-release capsule"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"1449"	"Nifedipine 24 30mg Modified-release tablet"	"Nifedipine"	"30mg"	"Modified-release Tablet"	"Oral"	"02060200"	"Nifedipine"
"1455"	"Prazosin 500microgram tablets"	"Prazosin"	"500microgram"	"Tablet"	"Oral"	"02050400/07040150"	"Prazosin"
"1520"	"Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Captopril/Hydrochlorothiazide"	"50mg + 25mg"	"Tablet"	"Oral"	"02020100/02050501"	"Captopril/Hydrochlorothiazide"
"1538"	"Diltiazem 60mg tablets"	"Diltiazem"	"60mg"	"Tablets"	"Oral"	"02060200"	"Diltiazem"
"1574"	"Verapamil 120mg modified-release capsules"	"Verapamil"	"120mg"	"Modified-release capsule"	"Oral"	"02060200"	"Verapamil"
"1684"	"Beta-Adalat modified-release capsules (Bayer Plc)"	"Nifedipine/Atenolol"	"50mg + 20mg"	"Modified-release capsule"	"Oral"	"02040000/02060200"	"Nifedipine/Atenolol"
"1686"	"Diltiazem 90mg modified-release capsules"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"1707"	"Methyldopa 250mg tablets"	"Methyldopa"	"250mg"	"Tablet"	"Oral"	"02050200"	"Methyldopa"
"1721"	"Dyazide 50mg/25mg tablets (AMCo)"	"Hydrochlorothiazide/Triamterene"	"25mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Triamterene"
"1747"	"Verapamil 120mg tablets"	"Verapamil"	"120mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"1748"	"Cordilox 120mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Verapamil"	"120mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
"1780"	"Losartan 50mg tablets"	"Losartan"	"50mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"1788"	"Atenolol 100mg with Chlortalidone 25mg tablets"	"Chlortalidone/Atenolol"	"100mg+25mg"	"Tablets"	"Oral"	"02020100/02040000"	"Chlortalidone/Atenolol"
"1807"	"Captopril 50mg tablets"	"Captopril"	"50mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"1836"	"Diltiazem 60mg modified-release tablets"	"Diltiazem"	"60mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"1854"	"Adalat la 30mg Tablet (Bayer Plc)"	"Nifedipine"	"30mg"	"Tablet"	"Oral"	"02060200"	"Nifedipine"
"1904"	"Enalapril 20mg tablets"	"Enalapril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Enalapril"
"1995"	"Diltiazem 12hr 120mg modified-release capsules"	"Diltiazem"	"120mg"	"12 Hour Modified Release Capsules"	"Oral"	"02060200"	"Diltiazem"
"2001"	"Aldactide 25 tablets (Pfizer Ltd)"	"Spironolactone"	"25mg + 25mg"	"Tablet"	"Oral"	"02020400"	"Spironolactone"
"2002"	"Amiloride 5mg / hydrochlorothiazide 50mg tablets"	"Hydrochlorothiazide/Amiloride"	"5mg + 50mg"	"Tablets"	"Oral"	"02020100/02020400"	"Hydrochlorothiazide/Amiloride"
"2046"	"Navidrex 500microgram tablets (AMCo)"	"Cyclopenthiazide"	"500microgram"	"Tablet"	"Oral"	"02020100"	"Cyclopenthiazide"
"2117"	"Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd)"	"Indoramin"	"20mg"	"Tablet"	"Oral"	"02050400/07040150"	"Indoramin"
"2142"	"Spironolactone 100mg tablets"	"Spironolactone"	"100mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"2179"	"Triamterene 50mg capsules"	"Triamterene"	"50mg"	"Capsule"	"Oral"	"02020300"	"Triamterene"
"2255"	"Navispare 2.5mg/250microgram tablets (AMCo)"	"Cyclopenthiazide/Amiloride"	"2.5mg + 250microgram"	"Tablet"	"Oral"	"02020400"	"Cyclopenthiazide/Amiloride"
"2280"	"Adalat retard 10mg tablets (Bayer Plc)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"2343"	"Adalat retard 20mg tablets (Bayer Plc)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"2346"	"Hytrin 5mg Tablet (Abbott Laboratories Ltd)"	"Terazosin"	"5mg"	"Tablet"	"Oral"	"02050400/07040150"	"Terazosin"
"2347"	"Hytrin 10mg Tablet (Abbott Laboratories Ltd)"	"Terazosin"	"10mg"	"Tablet"	"Oral"	"02050400/07040150"	"Terazosin"
"2348"	"Hytrin bph 10mg Tablet (Amdipharm Plc)"	"Terazosin"	"10mg"	"Tablet"	"Oral"	"02050400/07040150"	"Terazosin"
"2362"	"Apresoline 25mg tablets (AMCo)"	"Hydralazine"	"25mg"	"Tablet"	"Oral"	"02050100"	"Hydralazine"
"2389"	"Aldactone 25mg tablets (Pfizer Ltd)"	"Spironolactone"	"25mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"2414"	"Inderal 10mg tablets (AstraZeneca UK Ltd)"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"2432"	"Tenormin LS 50mg tablets (AstraZeneca UK Ltd)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"2453"	"Diltiazem 60mg modified-release capsules"	"Diltiazem"	"60mg"	"Modified Release Capsules"	"Oral"	"02060200"	"Diltiazem"
"2493"	"Burinex A 5mg/1mg tablets (LEO Pharma)"	"Amiloride"	"1mg + 5mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"2495"	"Bumetanide with Amiloride tablets"	"Amiloride"	NA	"Tablets"	"Oral"	"02020200/02020400"	"Amiloride"
"2499"	"Nadolol 80mg tablets"	"Nadolol"	"80mg"	"Tablet"	"Oral"	"02040000"	"Nadolol"
"2521"	"Adalat 10mg capsules (Bayer Plc)"	"Nifedipine"	"10mg"	"Capsule"	"Oral"	"02060200"	"Nifedipine"
"2528"	"Slozem 120mg capsules (Merck Serono Ltd)"	"Diltiazem"	"120mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"2587"	"Tenormin 100mg tablets (AstraZeneca UK Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"2590"	"Tenormin 25mg tablets (AstraZeneca UK Ltd)"	"Atenolol"	"25mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"2592"	"Viazem XL 120mg capsules (Thornton & Ross Ltd)"	"Diltiazem"	"120mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"2605"	"Nifedipine 10mg modified-release capsules"	"Nifedipine"	"10mg"	"Modified-release capsule"	"Oral"	"02060200"	"Nifedipine"
"2612"	"Indapamide 2.5mg tablets"	"Indapamide"	"2.5mg"	"Tablet"	"Oral"	"02020100"	"Indapamide"
"2630"	"Dixarit 25microgram tablets (Boehringer Ingelheim Ltd)"	"Clonidine"	"25microgram"	"Tablet"	"Oral"	"04070402/06040101"	"Clonidine"
"2649"	"METHYLDOPA 250 MG CAP"	"Methyldopa"	NA	NA	NA	"00000000"	"Methyldopa"
"2663"	"Diltiazem 240mg modified-release capsules"	"Diltiazem"	"240mg"	"Modified Release Capsules"	"Oral"	"02060200"	"Diltiazem"
"2680"	"Apresoline 50mg Tablet (Sovereign Medical Ltd)"	"Hydralazine"	"50mg"	"Tablet"	"Oral"	"02050100"	"Hydralazine"
"2681"	"AMILORIDE 10 MG TAB"	"Amiloride"	NA	"Tablet"	"Oral"	"00000000"	"Amiloride"
"2686"	"Dilzem xl mr 240mg Modified-release capsule (Elan Pharma)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"2746"	"Coracten SR 10mg capsules (UCB Pharma Ltd)"	"Nifedipine"	"10mg"	"Modified-release capsule"	"Oral"	"02060200"	"Nifedipine"
"2772"	"Lasoride 5mg/40mg tablets (Sanofi)"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"2811"	"Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"180mg"	"Modified-release Capsule"	"Oral"	"02060200"	"Diltiazem"
"2816"	"Indoramin 20mg tablets"	"Indoramin"	"20mg"	"Tablet"	"Oral"	"02050400/07040150"	"Indoramin"
"2833"	"CYCLOPENTHIAZIDE -K tablets"	"Cyclopenthiazide"	NA	"Tablets"	"Oral"	"02020100"	"Cyclopenthiazide"
"2878"	"Clonidine 100microgram tablets"	"Clonidine"	"100microgram"	"Tablet"	"Oral"	"02050200"	"Clonidine"
"2888"	"Tildiem 60mg modified-release tablets (Sanofi)"	"Diltiazem"	"60mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"2926"	"Nicardipine 20mg capsules"	"Nicardipine"	"20mg"	"Capsule"	"Oral"	"02060200"	"Nicardipine"
"2927"	"PERINDOPRIL/TERT-BUTYLAMINE 2 MG TAB"	"Perindopril"	NA	"Tablet"	"Oral"	"00000000"	"Perindopril"
"2961"	"Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd)"	"Triamterene"	"50mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Triamterene"
"2967"	"Minoxidil 5mg tablets"	"Minoxidil"	"5mg"	"Tablet"	"Oral"	"02050100"	"Minoxidil"
"2968"	"Minoxidil 10mg tablets"	"Minoxidil"	"10mg"	"Tablet"	"Oral"	"02050100"	"Minoxidil"
"2970"	"Minoxidil 2.5mg tablets"	"Minoxidil"	"2.5mg"	"Tablet"	"Oral"	"02050100"	"Minoxidil"
"2971"	"Irbesartan 300mg tablets"	"Irbesartan"	"300mg"	"Tablet"	"Oral"	"02050502"	"Irbesartan"
"2979"	"Centyl k Tablet (Edwin Burgess Ltd)"	"Bendroflumethiazide"	"630mg + 2.5mg"	"Modified-release tablet"	"Oral"	"02020800"	"Bendroflumethiazide"
"2982"	"Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02050501"	"Hydrochlorothiazide/Lisinopril"
"3005"	"Inderal LA 160mg capsules (AstraZeneca UK Ltd)"	"Propranolol"	"160mg"	"Modified-release capsule"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"3049"	"Methyldopa 125mg tablets"	"Methyldopa"	"125mg"	"Tablet"	"Oral"	"02050200"	"Methyldopa"
"3050"	"Furosemide with triamterene 40mgwith50mg Tablet"	"Triamterene"	"40mg + 50mg"	"Tablet"	"Oral"	"02020200/02020400"	"Triamterene"
"3054"	"Hygroton 100mg Tablet (Alliance Pharmaceuticals Ltd)"	"Chlortalidone"	"100mg"	"Tablet"	"Oral"	"02020100/06050200"	"Chlortalidone"
"3056"	"Natrilix SR 1.5mg tablets (Servier Laboratories Ltd)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"02020100"	"Indapamide"
"3057"	"Securon 120mg tablets (Abbott Laboratories Ltd)"	"Verapamil"	"120mg"	"Tablet"	"Oral"	"02060200"	"Verapamil"
