"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"73528"	"Candesartan 4mg tablets (Milpharm Ltd)"	"Candesartan"	"4mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"73612"	"Amlodipine 5mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Amlodipine"	"1mg/1ml"	"Oral solution"	"Oral"	"02060200"	"Amlodipine"
"73617"	"Enalapril 1.5mg/5ml oral suspension"	"Enalapril"	"300microgram/1ml"	"Oral suspension"	"Oral"	"02050501"	"Enalapril"
"73637"	"Doxazosin 1mg tablets (Sterwin Medicines)"	"Doxazosin"	"1mg"	"Tablet"	"Oral"	"02050400/07040000"	"Doxazosin"
"73640"	"Methyldopa 250mg tablets (Sandoz Ltd)"	"Methyldopa"	"250mg"	"Tablet"	"Oral"	"02050200"	"Methyldopa"
"73644"	"Spironolactone 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Spironolactone"	"25mg"	"Tablet"	"Oral"	"02020300"	"Spironolactone"
"73646"	"Nicardipine 20mg capsules (Tillomed Laboratories Ltd)"	"Nicardipine"	"20mg"	"Capsule"	"Oral"	"02060200"	"Nicardipine"
"73653"	"Propranolol 80mg tablets (Ranbaxy (UK) Ltd)"	"Propranolol"	"80mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"73659"	"Captopril 50mg tablets (Kent Pharmaceuticals Ltd)"	"Captopril"	"50mg"	"Tablet"	"Oral"	"02050501"	"Captopril"
"73672"	"Lisinopril 10mg tablets (Aurobindo Pharma Ltd)"	"Lisinopril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"73715"	"Felodipine 5mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"73716"	"Lisinopril 2.5mg tablets (Crescent Pharma Ltd)"	"Lisinopril"	"2.5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"73765"	"Propranolol 10mg tablets (Ranbaxy (UK) Ltd)"	"Propranolol"	"10mg"	"Tablet"	"Oral"	"02040000/04070402/04090300/06020200"	"Propranolol"
"73811"	"Candesartan 2mg tablets (Ranbaxy (UK) Ltd)"	"Candesartan"	"2mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"73813"	"Candesartan 4mg tablets (Waymade Healthcare Plc)"	"Candesartan"	"4mg"	"Tablet"	"Oral"	"02050502"	"Candesartan"
"73968"	"Nicardipine 20mg capsules (Teva UK Ltd)"	"Nicardipine"	"20mg"	"Capsule"	"Oral"	"02060200"	"Nicardipine"
"73992"	"Adalat LA 60 tablets (Dowelhurst Ltd)"	"Nifedipine"	"60mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"73993"	"Frumil 40mg/5mg tablets (Sigma Pharmaceuticals Plc)"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"74000"	"Cardura XL 4mg tablets (Waymade Healthcare Plc)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"74001"	"Adalat LA 20 tablets (Dowelhurst Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"74004"	"Plendil 5mg modified-release tablets (Dowelhurst Ltd)"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"74008"	"Zestoretic 20 tablets (Waymade Healthcare Plc)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Tablet"	"Oral"	"02020100/02050501"	"Hydrochlorothiazide/Lisinopril"
"74012"	"Plendil 2.5mg modified-release tablets (Waymade Healthcare Plc)"	"Felodipine"	"2.5mg"	"Modified-release tablet"	"Oral"	"02060200"	"Felodipine"
"74013"	"Diovan 160mg capsules (DE Pharmaceuticals)"	"Valsartan"	"160mg"	"Capsule"	"Oral"	"02050502"	"Valsartan"
"74017"	"Moduretic 5mg/50mg tablets (Waymade Healthcare Plc)"	"Hydrochlorothiazide/Amiloride"	"5mg + 50mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Amiloride"
"74022"	"Tildiem LA 200 capsules (Waymade Healthcare Plc)"	"Diltiazem"	"200mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"74029"	"Tildiem Retard 90mg tablets (Dowelhurst Ltd)"	"Diltiazem"	"90mg"	"Modified-release tablet"	"Oral"	"02060200"	"Diltiazem"
"74037"	"Hytrin 5mg tablets (Waymade Healthcare Plc)"	"Terazosin"	"5mg"	"Tablet"	"Oral"	"02050400/07040150"	"Terazosin"
"74039"	"Tenif 50mg/20mg modified-release capsules (Sigma Pharmaceuticals Plc)"	"Nifedipine/Atenolol"	"50mg + 20mg"	"Modified-release capsule"	"Oral"	"02040000/02060200"	"Nifedipine/Atenolol"
"74040"	"Zestoretic 20 tablets (Lexon (UK) Ltd)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Tablet"	"Oral"	"02050501"	"Hydrochlorothiazide/Lisinopril"
"74053"	"Dilzem XL 240 capsules (Sigma Pharmaceuticals Plc)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"74055"	"Valsartan 40mg/5ml oral solution"	"Valsartan"	"8mg/1ml"	"Oral solution"	"Oral"	"02050502"	"Valsartan"
"74057"	"Valsartan 40mg/5ml oral suspension"	"Valsartan"	"8mg/1ml"	"Oral suspension"	"Oral"	"02050502"	"Valsartan"
"74061"	"Adalat LA 30 tablets (Waymade Healthcare Plc)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"74062"	"Celectol 400mg tablets (Sigma Pharmaceuticals Plc)"	"Celiprolol"	"400mg"	"Tablet"	"Oral"	"02040000"	"Celiprolol"
"74066"	"Ramipril 10mg tablets (Tillomed Laboratories Ltd)"	"Ramipril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Ramipril"
"74108"	"Amlodipine 5mg tablets (Sigma Pharmaceuticals Plc)"	"Amlodipine"	"5mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"74121"	"Amlodipine 5mg/5ml oral solution sugar free (Thame Laboratories Ltd)"	"Amlodipine"	"1mg/1ml"	"Oral solution"	"Oral"	"02060200"	"Amlodipine"
"74153"	"Chlorothiazide 10mg/5ml oral solution"	"Chlorothiazide"	"2mg/1ml"	"Oral solution"	"Oral"	"02020100"	"Chlorothiazide"
