"source_table"	"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"aurum_angina"	"1576311000006117"	"4"	"EGTON2G44"	NA	"cause of death- angina pectoris"	"1576311000006101"	"1576311000006117"	"37"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"1731551000000112"	"124"	"662K4"	"662K400"	"angina self management plan commenced"	"775161000000102"	"1731551000000112"	"1"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"1731571000000115"	"130"	"662K5"	"662K500"	"angina self management plan completed"	"775171000000109"	"1731571000000115"	"1"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"1752201000000116"	"4652"	"187"	"187..00"	"frequency of angina"	"704207005"	"3010438013"	"27"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"2117311000000111"	"287"	"661N0"	"661N000"	"angina self-management plan review"	"811701000000105"	"2117311000000111"	"1"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"2117731000000119"	"6916"	"661M0"	"661M000"	"angina self-management plan agreed"	"811901000000107"	"2117731000000119"	"1"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"2210191000000118"	"62"	"8T04"	"8T04.00"	"referral to angina plan self-management programme"	"853561000000109"	"2210191000000118"	"40"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"2210251000000115"	"12"	"8IEY"	"8IEY.00"	"referral to angina plan self-management programme declined"	"853591000000103"	"2210251000000115"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"2878031000006112"	"2"	"^ESCTAN287803"	NA	"angina pectoris with documented spasm"	"23687008"	"481684018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3166141000006114"	"243"	"^ESCTAN316614"	NA	"angina, class ii"	"41334000"	"68946011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3458791000006114"	"8"	"^ESCTAN345879"	NA	"anginal chest pain at rest"	"59021001"	"98088014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3499001000006116"	"72"	"^ESCTAN349900"	NA	"angina, class i"	"61490001"	"102153019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3886751000006118"	"81"	"^ESCTAN388675"	NA	"angina, class iii"	"85284003"	"141382014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3919991000006112"	"161"	"^ESCTPR391999"	NA	"prinzmetal angina"	"87343002"	"144818014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3920001000006119"	"1"	"^ESCTVA392000"	NA	"variant angina pectoris"	"87343002"	"144819018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3920011000006116"	"76"	"^ESCTVA392001"	NA	"variant angina"	"87343002"	"1235223015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3920021000006112"	"292"	"^ESCTCO392002"	NA	"coronary artery spasm angina"	"87343002"	"1235224014"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"3951991000006119"	"11"	"^ESCTAN395199"	NA	"angina, class iv"	"89323001"	"148118017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"4540501000006118"	"5"	"^ESCTHI454050"	NA	"history of angina pectoris"	"161504004"	"2986318019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"4775971000006114"	"2176"	"^ESCTAN477597"	NA	"angina"	"194828000"	"299755016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"4775981000006112"	"5"	"^ESCTCA477598"	NA	"cardiac angina"	"194828000"	"299756015"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"4776001000006111"	"10"	"^ESCTAN477600"	NA	"anginal syndrome"	"194828000"	"299759010"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"4776021000006118"	"4"	"^ESCTIS477602"	NA	"ischemic heart disease - angina"	"194828000"	"299761018"	"32"	NA	NA	NA	NA	NA	NA	NA
