"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"53622"	"Aspirin 300mg Tablet (M & A Pharmachem Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"53711"	"Aspirin 300mg Tablet (Nucare Plc)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"53751"	"Clopidogrel 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"53791"	"Aspirin 150mg suppositories (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"53804"	"Aspirin 300mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"53816"	"Aspirin 300mg dispersible tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"54284"	"Aspirin 75mg dispersible tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"54353"	"Generic Anadin Extra soluble tablets sugar free"	"Aspirin"	"300mg + 200mg + 45mg"	"Soluble tablet"	"Oral"	"04070500"	"Aspirin"
"54430"	"Aspirin 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"54526"	"Aspirin 300mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"54565"	"Aspirin 75mg dispersible tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"54700"	"Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"54734"	"Aspirin 300mg tablets (Wockhardt UK Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"54997"	"Aspirin 75mg dispersible tablets (Dowelhurst Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"55161"	"Clopidogrel 75mg tablets (Wockhardt UK Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"55230"	"Aspirin 300mg dispersible tablets (Kent Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"55579"	"Aspirin 300mg tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"00000000"	"Aspirin"
"56007"	"Aspirin 300mg dispersible tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"56503"	"Asasantin Retard capsules (Mawdsley-Brooks & Company Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"56736"	"Aspirin 300mg tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"56807"	"Clopidogrel 75mg tablets (Teva UK Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"56883"	"Aspirin 75mg tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"56995"	"Aspirin 75mg dispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"56996"	"Aspirin 75mg dispersible tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"57036"	"Clopidogrel 75mg tablets (Mylan)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"57057"	"Aspirin 75mg dispersible tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
