"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"80481"	"Aspirin 75mg Dispersible tablet (Numark Management Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"80662"	"Aspirin 75mg tablets (Medreich Plc)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"80766"	"Aspirin 75mg dispersible tablets (M & A Pharmachem Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"80777"	"Brilique 90mg orodispersible tablets (AstraZeneca UK Ltd)"	"Ticagrelor"	"90mg"	"Orodispersible tablet"	"Oral"	"02090000"	"Ticagrelor"
"80839"	"Aspirin 300mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"81353"	"Femigraine Effervescent tablet (Nicholas Laboratories Ltd)"	"Aspirin"	NA	"Effervescent Tablet"	"Oral"	"03040103/04070401"	"Aspirin"
"81427"	"Aspirin Powder (Thornton & Ross Ltd)"	"Aspirin"	"1mg/1mg"	"Not applicable"	"Route of administration not applicable"	"50000000"	"Aspirin"
"81574"	"Aspirin with codeine Tablet (Approved Prescription Services Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"81756"	"Aspirin 75mg gastro-resistant tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"82338"	"Dipyridamole 100mg tablets (Almus Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"00000000"	"Dipyridamole"
"82633"	"Clopidogrel 25mg/5ml oral suspension"	"Clopidogrel"	"5mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Clopidogrel"
"83401"	"Aspirin 300mg tablets (Numark Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"83747"	"Clopidogrel 75mg tablets (Torrent Pharma (UK) Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"84392"	"Aspirin 300mg dispersible tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"84747"	"Aspirin 300mg dispersible tablets (Numark Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"84784"	"Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"84924"	"Aspirin 300mg dispersible tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"85163"	"Aspirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"85356"	"Aspirin 75mg dispersible tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"85391"	"Clopidogrel 75mg tablets (Accord Healthcare Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"85588"	"Aspirin 75mg gastro-resistant tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"85694"	"Boots Aspirin 300mg dispersible tablets (The Boots Company Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"85696"	"Clopidogrel 75mg tablets (Waymade Healthcare Plc)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"86169"	"Dipyridamole 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"86732"	"Aspirin 75mg tablets (Healthcare Pharma Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
