ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
22641000033110		Alrheumat  Capsules  50 mg							6259

22741000033118	597011000001101	Airomir 100micrograms/dose inhaler (Teva UK Ltd)	Airomir 100micrograms/dose inhaler	 Pressurised inhalation	Inhalation	Salbutamol sulfate	100.000microgram/1.000dose		713851

22841000033111		Air Apparatus And Valve  Oxygen set  d24, spec 01b							20499

22941000033115	39311000001102	Ailax oral suspension (Galen Ltd)	Ailax oral suspension	Oral suspension	Oral	Dantron/ Poloxamer 188	5.000mg/1.000ml + 40.000mg/1.000ml		1952

23041000033113	3040911000001102	Ailax Forte oral suspension (Galen Ltd)	Ailax Forte oral suspension	Oral suspension	Oral	Dantron/ Poloxamer 188	15.000mg/1.000ml + 200.000mg/1.000ml		122

23141000033112	147511000001107	Aknemin 100mg capsules (Almirall Ltd)	Aknemin 100mg capsules	Capsule/ Oral capsule	Oral	Minocycline hydrochloride	100.000mg		4948

