ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
4741000033119		Actifed Expectorant  Elixir  							131

4841000033112	3692911000001104	Acular 0.5% eye drops (AbbVie Ltd)	Acular 0.5% eye drops	Eye drops	Ocular	Ketorolac trometamol	5.000mg/1.000ml		145798

4941000033116	41485511000001108	Aciclovir 30mg/g eye ointment	Aciclovir 30mg/g eye ointment	Eye ointment	Ocular	Aciclovir	30.000mg/1.000gram	11030300	176247

5041000033116		Acetylcholine Chloride  Eye solution  							7

5141000033117	42183911000001102	Acetylcysteine 5% eye drops	Acetylcysteine 5% eye drops	Eye drops	Ocular	Acetylcysteine	50.000mg/1.000ml	11080100	111627

5241000033112		Acnecide  Gel  10 %							929

5341000033119	459011000001107	Acnecide 5% gel (Galderma (UK) Ltd)	Acnecide 5% gel	Gel/ Cutaneous gel	Cutaneous	Benzoyl peroxide	50.000mg/1.000gram		83507

5441000033113		Acnegel Forte  Gel  10 %							1626

5541000033114	12557811000001104	Actonorm gel (Wallace Manufacturing Chemists Ltd)	Actonorm gel	Oral suspension	Oral	Aluminium hydroxide/ Magnesium hydroxide/ Simeticone	44.000mg/1.000ml + 40.000mg/1.000ml + 5.000mg/1.000ml		5

5641000033110		Acetoxyl 2.5  Gel  2.5 %							6132

5741000033118		Acetoxyl 5  Gel  5 %							3741

5841000033111		Acnegel  Gel  5 %							17212

5941000033115	10165411000001101	Acetylcysteine 200mg granules for oral solution sachets	Acetylcysteine 200mg granules for oral solution sachets	Granules for oral solution/ Granules	Oral	Acetylcysteine	200.000mg	03070000	8182

6041000033113		Acebutolol  Injection  5 mg/1 ml							1

6141000033112		Achromycin  Intramuscular injection							2

6241000033117		Achromycin  Intravenous injection  250 mg							50

6341000033110		Act-Hib Dtp  Injection							985

6441000033116		Achromycin  Intravenous injection  500 mg							20

6541000033115	4838211000001105	Actilyse 10mg powder and solvent for solution for injection vials (Boehringer Ingelheim Ltd)	Actilyse 10mg powder and solvent for solution for injection vials	Powder and solvent for solution for injection	Intravenous	Alteplase	10.000mg		365

6641000033119		Accusite  Injectable gel							90

6741000033111		Act-Hib Dtp  Injection (dual chamber)  							4249

6841000033118		Acth/Cmc  Injection  60 units/ml							112

6941000033114	17644211000001103	Acthar 400units/5ml gel for injection vials (Imported (United States))	Acthar 400units/5ml gel for injection vials	Gel for injection/		Corticotropin	80.000unit/1.000ml + 80.000unit/1.000ml		478

7041000033110	4054311000001107	Acupan 20mg/1ml solution for injection ampoules (3M Health Care Ltd)	Acupan 20mg/1ml solution for injection ampoules	Solution for injection	Intramuscular	Nefopam hydrochloride	20.000mg/1.000ml		495

7141000033114		Acthar Gel  Injection  20 units/ml							134

7241000033119		Acthar Gel  Injection  40 units/ml							1602

7341000033112		Actrapid Mc  Injection  100 units/1 ml							6609

7441000033118	41485411000001109	Aciclovir 250mg powder for solution for infusion vials	Aciclovir 250mg powder for solution for infusion vials	Powder for solution for infusion	Intravenous	Aciclovir sodium	250.000mg	05030201	3

7541000033117		Actinomycin D (With Mannitol)  Injection  500 microgram vial							19

7741000033113		Ac Vax  Injection  							17909

7841000033115	38895811000001106	Acetylcysteine 2g/10ml solution for infusion ampoules	Acetylcysteine 2g/10ml solution for infusion ampoules	Solution for infusion	Intravenous	Acetylcysteine	200.000mg/1.000ml	19020700	2779

8141000033113	4839711000001107	Actilyse 20mg powder and solvent for solution for injection vials (Boehringer Ingelheim Ltd)	Actilyse 20mg powder and solvent for solution for injection vials	Powder and solvent for solution for injection	Intravenous	Alteplase	20.000mg		1

8241000033118	4377611000001107	Acetazolamide 500mg powder for solution for injection vials	Acetazolamide 500mg powder for solution for injection vials	Powder for solution for injection	Intravenous/ Intramuscular	Acetazolamide	500.000mg	11060000	87

8341000033111	41485811000001106	Aciclovir 500mg powder for solution for infusion vials	Aciclovir 500mg powder for solution for infusion vials	Powder for solution for infusion	Intravenous	Aciclovir sodium	500.000mg	05030201	146

8441000033117	3698011000001100	Aci-Jel 0.94% vaginal jelly (Janssen-Cilag Ltd)	Aci-Jel 0.94% vaginal jelly	Vaginal gel	Vaginal	Acetic acid glacial	9.400mg/1.000gram		38433

8641000033115		Actifed Compound  Linctus  							724

8741000033112	4020911000001102	Actinac lotion (Peckforton Pharmaceuticals Ltd)	Actinac lotion	Liquid/ Cutaneous liquid	Cutaneous	Allantoin/ Chloramphenicol/ Hydrocortisone acetate/ Nicoboxil/ Sulfur precipitated	6.000mg/1.000ml + 10.000mg/1.000ml + 10.000mg/1.000ml + 6.000mg/1.000ml + 80.500mg/1.000ml		42106

8841000033119	35891911000001105	Acetazolamide 250mg modified-release capsules	Acetazolamide 250mg modified-release capsules	Modified-release capsule	Oral	Acetazolamide	250.000mg	11060000	163027

8941000033110		Achromycin Topical  Ointment  3 %							5253

9041000033118		Achromycin  Ophthalmic oil  1 %							222

9141000033119	8084311000001104	Actonorm oral powder (Wallace Manufacturing Chemists Ltd)	Actonorm oral powder	 Oral powder/ Powder	Oral	Aluminium hydroxide gel dried/ Atropine sulfate/ Calcium carbonate/ Magnesium carbonate/ Magnesium trisilicate/ Peppermint oil/ Sodium bicarbonate	50.000mg/1.000gram + 100.000microgram/1.000gram + 145.000mg/1.000gram + 381.400mg/1.000gram + 50.000mg/1.000gram + 500.000microgram/1.000gram + 373.000mg/1.000gram		5

9241000033114		Acetazolamide  Powder  							52

9341000033116		Achromycin  Powder  25 g/bottle							10

9541000033111	8087311000001108	Activated charcoal 81.3% granules for gastroenteral or oral suspension sugar free	Activated charcoal 81.3% granules for gastroenteral or oral suspension sugar free	Granules/ Granules for gastroenteral or oral suspension	Oral/ Gastroenteral	Activated charcoal	813.000mg/1.000gram	19020700	127

9641000033112		Human Actrapid  Preloaded pen  100 units/ml							78163

9741000033115	3845611000001104	Acnisal 2% solution (Alliance Pharmaceuticals Ltd)	Acnisal 2% solution	Cutaneous solution/ Liquid	Cutaneous	Salicylic acid	20.000mg/1.000gram		17994

10041000033114	35892311000001100	Aciclovir 200mg/5ml oral suspension sugar free	Aciclovir 200mg/5ml oral suspension sugar free	Oral suspension	Oral	Aciclovir	40.000mg/1.000ml	05030201	96548

10141000033113	3627511000001103	Aciclovir 400mg/5ml oral suspension sugar free	Aciclovir 400mg/5ml oral suspension sugar free	Oral suspension	Oral	Aciclovir	80.000mg/1.000ml	05030201	23809

10241000033118		Achromycin V  Syrup  125 mg/5 ml							27

10341000033111		Actifed  Syrup  							574

10441000033117		Achromycin  Syrup  125 mg/5 ml							21

10541000033116	926011000001102	Acetest testing tablets (Bayer Diagnostics Manufacturing Ltd)	Acetest testing tablets						1223

10641000033115	39693911000001105	Aciclovir 800mg dispersible tablets	Aciclovir 800mg dispersible tablets	Dispersible tablet/	Oral	Aciclovir	800.000mg	05030201	322633

10741000033112	39725711000001107	Acebutolol 400mg tablets	Acebutolol 400mg tablets	Tablet/ Oral Tablet	Oral	Acebutolol hydrochloride	400.000mg	02040000	72371

10841000033119	660111000001107	Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg		21880

10941000033110	517711000001103	Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg		33437

11041000033117	814111000001108	Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acepril 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg		13274

11141000033118	42122011000001100	Acetazolamide 250mg tablets	Acetazolamide 250mg tablets	Tablet/ Oral Tablet	Oral	Acetazolamide	250.000mg	11060000	568019

11241000033113	260211000001104	Accuretic 10mg/12.5mg tablets (Pfizer Ltd)	Accuretic 10mg/12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Quinapril hydrochloride	12.500mg + 10.000mg		20998

11341000033115		Acetazolamide  Tablets  500 mg							217

11441000033114	42080211000001108	Acarbose 100mg tablets	Acarbose 100mg tablets	Tablet/ Oral Tablet	Oral	Acarbose	100.000mg	06010203	209726

11541000033110	42080311000001100	Acarbose 50mg tablets	Acarbose 50mg tablets	Tablet/ Oral Tablet	Oral	Acarbose	50.000mg	06010203	608944

11641000033111	86411000001109	Accupro 40mg tablets (Pfizer Ltd)	Accupro 40mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	40.000mg		5067

11741000033119		Acitak  Tablets  200 mg							99

11841000033112	720411000001102	Acitak 400mg tablets (Opus Pharmaceuticals Ltd)	Acitak 400mg tablets	Tablet/ Oral Tablet	Oral	Cimetidine	400.000mg		3598

11941000033116		Acitak  Tablets  800 mg							5

12041000033110	42099211000001100	Aceclofenac 100mg tablets	Aceclofenac 100mg tablets	Tablet/ Oral Tablet	Oral	Aceclofenac	100.000mg	10010100	268250

12141000033114		Actidil  Tablets  2.5 mg							1053

12241000033119	71011000001102	Acupan 30mg tablets (Meda Pharmaceuticals Ltd)	Acupan 30mg tablets	Tablet/ Oral Tablet	Oral	Nefopam hydrochloride	30.000mg		79456

12341000033112		Achromycin  Tablets  250 mg							2356

12441000033118		Actifed  Tablets  							575

12541000033117	41485311000001102	Aciclovir 200mg tablets	Aciclovir 200mg tablets	Tablet/ Oral Tablet	Oral	Aciclovir	200.000mg	05030201	1519281

12641000033116		Acetohexamide  Tablets  500 mg							4

12741000033113		Activated Dimethicone  Tablets  20 mg							44

12841000033115	4859211000001104	Actal 360mg tablets (Seven Seas Ltd)	Actal 360mg tablets	Tablet/ Oral Tablet	Oral	Alexitol sodium	360.000mg		141

12941000033111		Activated Dimethicone  Tablets  40 mg							133

13041000033118	41485611000001107	Aciclovir 400mg tablets	Aciclovir 400mg tablets	Tablet/ Oral Tablet	Oral	Aciclovir	400.000mg	05030201	1985597

13141000033119	263311000001101	Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Acezide 25mg/50mg tablets	Tablet/ Oral Tablet	Oral	Captopril/ Hydrochlorothiazide	50.000mg + 25.000mg		21289

13241000033114	231111000001106	Accupro 10mg tablets (Pfizer Ltd)	Accupro 10mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	10.000mg		28951

13341000033116	829111000001100	Accupro 20mg tablets (Pfizer Ltd)	Accupro 20mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	20.000mg		27020

13441000033110	582611000001106	Accupro 5mg tablets (Pfizer Ltd)	Accupro 5mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	5.000mg		23217

13541000033111		Act-Hib  Vaccine  10 micrograms/0.5 ml							9086

13641000033112		Acellular Pertussis  Vaccine  0.5 ml/vial							49

13741000033115	3701211000001107	Acetic acid (glacial) 0.94% vaginal gel	Acetic acid (glacial) 0.94% vaginal gel	Vaginal gel	Vaginal	Acetic acid glacial	9.400mg/1.000gram	07020200	7779

13841000033113		Adizem  Capsules  60 mg							428

13941000033117		Adifax  Capsules  15 mg							27457

14041000033115	782511000001108	Adalat 10mg capsules (Bayer Plc)	Adalat 10mg capsules	Capsule/ Oral capsule	Oral	Nifedipine	10.000mg		258069

14141000033116	27111000001107	Adalat 5mg capsules (Bayer Plc)	Adalat 5mg capsules	Capsule/ Oral capsule	Oral	Nifedipine	5.000mg		164993

14341000033118		Adrenaline  Cream  							772

14441000033112		Adcortyl  Cream  0.1 %							6807

14541000033113		Adcortyl With Graneodin  Cream  							2727

14741000033117		Adrenaline  Eye drops  0.5 %							2508

